月份,指标,单位,多国上报数值,上报国家地区数,能源产品,能源产品中文,流量类型,流量类型中文,模型用途
2025-01,多国原油及凝析油产量,KBD,52653.5542,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-02,多国原油及凝析油产量,KBD,52663.602,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-03,多国原油及凝析油产量,KBD,53745.3075,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-04,多国原油及凝析油产量,KBD,53547.0138,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-05,多国原油及凝析油产量,KBD,53133.7114,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-06,多国原油及凝析油产量,KBD,53871.07,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-07,多国原油及凝析油产量,KBD,54173.074,53,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-08,多国原油及凝析油产量,KBD,54865.4841,54,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-09,多国原油及凝析油产量,KBD,54949.9344,53,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-10,多国原油及凝析油产量,KBD,55748.5815,53,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-11,多国原油及凝析油产量,KBD,56221.212700000004,53,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-12,多国原油及凝析油产量,KBD,51544.8388,52,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2026-01,多国原油及凝析油产量,KBD,50036.6121,49,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2026-02,多国原油及凝析油产量,KBD,51456.9729,45,TOTCRUDE,原油及凝析油合计,INDPROD,本国产量,约束长期非海湾供给恢复和全球供给基线。
2025-01,多国原油及凝析油期末库存,KBBL,2196920.523,49,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-02,多国原油及凝析油期末库存,KBBL,2185877.293,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-03,多国原油及凝析油期末库存,KBBL,2204685.1289999997,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-04,多国原油及凝析油期末库存,KBBL,2219689.154,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-05,多国原油及凝析油期末库存,KBBL,2213656.894,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-06,多国原油及凝析油期末库存,KBBL,2191447.989,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-07,多国原油及凝析油期末库存,KBBL,2226285.554,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-08,多国原油及凝析油期末库存,KBBL,2218179.327,49,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-09,多国原油及凝析油期末库存,KBBL,2199535.01,48,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-10,多国原油及凝析油期末库存,KBBL,2238013.26,49,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-11,多国原油及凝析油期末库存,KBBL,2228799.9960000003,49,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-12,多国原油及凝析油期末库存,KBBL,2206650.306,49,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2026-01,多国原油及凝析油期末库存,KBBL,2202619.267,46,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2026-02,多国原油及凝析油期末库存,KBBL,2203133.022,44,TOTCRUDE,原油及凝析油合计,CLOSTLV,期末库存,审计全球/多国库存缓冲数量级。
2025-01,多国原油及凝析油进口,KBD,38620.1356,62,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-02,多国原油及凝析油进口,KBD,38267.6661,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-03,多国原油及凝析油进口,KBD,38962.6989,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-04,多国原油及凝析油进口,KBD,38849.087700000004,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-05,多国原油及凝析油进口,KBD,38964.242,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
2025-06,多国原油及凝析油进口,KBD,39816.898199999996,61,TOTCRUDE,原油及凝析油合计,TOTIMPSB,总进口,审计贸易流对封锁冲击的暴露方向。
