年份,时期,指标,数值_mb每日,数值_万桶每日,来源表,说明,来源URL
2025,2024,世界石油需求,103.8,10380.0,Table 10-1,2024 estimate,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,世界石油需求,104.3,10430.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,世界石油需求,104.2,10420.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,世界石油需求,105.5,10550.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,4Q25,世界石油需求,106.6,10660.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025,世界石油需求,105.1,10510.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025/24,世界石油需求,1.3,130.0,Table 10-1,annual change,https://publications.opec.org/momr/chapter/147/2738
2025,2024,非DoC液体产量,53.2,5320.0,Table 10-1,2024 estimate,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,非DoC液体产量,53.7,5370.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,非DoC液体产量,54.2,5420.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,非DoC液体产量,55.0,5500.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,4Q25,非DoC液体产量,53.6,5360.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025,非DoC液体产量,54.1,5410.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025/24,非DoC液体产量,0.9,90.0,Table 10-1,annual change,https://publications.opec.org/momr/chapter/147/2738
2025,2024,DoC NGL及非常规液体,8.5,850.0,Table 10-1,2024 estimate,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,DoC NGL及非常规液体,8.7,869.9999999999999,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,DoC NGL及非常规液体,8.6,860.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,DoC NGL及非常规液体,8.6,860.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,4Q25,DoC NGL及非常规液体,8.7,869.9999999999999,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025,DoC NGL及非常规液体,8.6,860.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025/24,DoC NGL及非常规液体,0.1,10.0,Table 10-1,annual change,https://publications.opec.org/momr/chapter/147/2738
2025,2024,非DoC总液体及DoC NGL,61.7,6170.0,Table 10-1,2024 estimate,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,非DoC总液体及DoC NGL,62.4,6240.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,非DoC总液体及DoC NGL,62.8,6280.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,非DoC总液体及DoC NGL,63.6,6360.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,4Q25,非DoC总液体及DoC NGL,62.2,6220.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025,非DoC总液体及DoC NGL,62.7,6270.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025/24,非DoC总液体及DoC NGL,1.0,100.0,Table 10-1,annual change,https://publications.opec.org/momr/chapter/147/2738
2025,2024,DoC原油需求差额,42.1,4210.0,Table 10-1,world demand minus non-DoC liquids and DoC NGL,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,DoC原油需求差额,41.8,4180.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,DoC原油需求差额,41.4,4140.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,DoC原油需求差额,41.9,4190.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,4Q25,DoC原油需求差额,44.3,4430.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025,DoC原油需求差额,42.4,4240.0,Table 10-1,2025 forecast,https://publications.opec.org/momr/chapter/147/2738
2025,2025/24,DoC原油需求差额,0.3,30.0,Table 10-1,annual change,https://publications.opec.org/momr/chapter/147/2738
2025,2024,DoC原油产量,40.9,4090.0,Table 10-1,reported production,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,DoC原油产量,40.9,4090.0,Table 10-1,reported production,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,DoC原油产量,41.3,4130.0,Table 10-1,reported production,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,DoC原油产量,42.5,4250.0,Table 10-1,reported production,https://publications.opec.org/momr/chapter/147/2738
2025,2024,供需平衡,-1.2,-120.0,Table 10-1,production minus demand for DoC crude,https://publications.opec.org/momr/chapter/147/2738
2025,1Q25,供需平衡,-0.9,-90.0,Table 10-1,production minus demand for DoC crude,https://publications.opec.org/momr/chapter/147/2738
2025,2Q25,供需平衡,-0.1,-10.0,Table 10-1,production minus demand for DoC crude,https://publications.opec.org/momr/chapter/147/2738
2025,3Q25,供需平衡,0.5,50.0,Table 10-1,production minus demand for DoC crude,https://publications.opec.org/momr/chapter/147/2738
2026,2025,世界石油需求,105.1,10510.0,Table 10-2,2025 forecast baseline,https://publications.opec.org/momr/chapter/147/2738
2026,1Q26,世界石油需求,105.6,10560.0,Table 10-2,2026 forecast,https://publications.opec.org/momr/chapter/147/2738
2026,2Q26,世界石油需求,105.6,10560.0,Table 10-2,2026 forecast,https://publications.opec.org/momr/chapter/147/2738
2026,3Q26,世界石油需求,107.1,10710.0,Table 10-2,2026 forecast,https://publications.opec.org/momr/chapter/147/2738
2026,4Q26,世界石油需求,107.9,10790.0,Table 10-2,2026 forecast,https://publications.opec.org/momr/chapter/147/2738
2026,2026,世界石油需求,106.5,10650.0,Table 10-2,2026 forecast,https://publications.opec.org/momr/chapter/147/2738
