供应中断量_万桶每日,需求价格弹性,线性化传统模型价格_美元每桶,常弹性机械上界价格_美元每桶,实际窗口最高收盘价_美元每桶,线性模型是否超过120,说明
1400,-0.05,278.198,1494.8629634065242,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1400,-0.1,175.704,330.8155340231042,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1400,-0.18,130.1511111111111,169.22631593827944,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1400,-0.25,114.2076,133.8371259397666,114.06,False,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1400,-0.35,102.494,112.64649651321301,114.06,False,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1600,-0.05,307.4819999999999,2393.231363183,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1600,-0.1,190.34599999999995,418.5791061419901,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1600,-0.18,138.28555555555553,192.85950148809556,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1600,-0.25,120.06439999999999,147.04601606326585,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1600,-0.35,106.67742857142858,120.480095698065,114.06,False,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1800,-0.05,336.76599999999996,3875.193198164034,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1800,-0.1,204.98799999999997,532.6376761341512,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1800,-0.18,146.42,220.48666983379982,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1800,-0.25,125.92119999999998,161.92540699655777,114.06,True,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
1800,-0.35,110.86085714285713,129.0673944746645,114.06,False,用于说明200美元不是现实预测，而是低短期弹性假设下的反事实上界
