参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率,是否值得进一步联动精修
assumption,route_start_day,绕道启动日,0.15,23.0,26.0,3.3747775697294378,2.754008570922738,2.752987168912318,66.66666666666666,7.225460445556422,6.496683528152018,3.7210636372822705,3.766946295170459,2.7549133694684462,0.15492985488874525,0.1263586887697086,False
behavior,buffer_relief_strength,缓冲确认折价强度,0.05,0.20703750524313,0.2173893805052865,3.3848415850056246,2.748690770186268,2.7437076882050504,66.66666666666666,7.43662230095363,6.49803176797557,3.742297943584925,3.789969573805642,2.7442790467746514,-0.1428208236168327,0.10563217193146626,False
behavior,pressure_scale,缺口价格传导系数,-0.15,0.026215856764507,0.022283478249830947,3.379245908435642,2.753405136426726,2.751568148131879,66.66666666666666,7.23582936003254,6.50142612361579,3.732769290698995,3.777061380095946,2.75506629430559,0.022731041089934453,0.05345067713877228,False
assumption,route_max_capacity,绕道能力上限,-0.15,189.3444293213031,160.94276492310763,3.3787020063562503,2.7551249991781743,2.754138454461943,66.66666666666666,7.218015382937267,6.503326432970869,3.7284088548905343,3.774937914350525,2.7533097876231034,0.03882275088320505,0.024237184733431776,False
behavior,relief_start_day,预期修复开始日,-0.05,29.0,28.0,3.398170869808202,2.7597265958004265,2.7531468046761165,66.66666666666666,7.943289547142882,6.5063733868774305,3.7319547934009556,3.8413073650002665,2.7489528300314374,-0.5371767029597745,-0.022603696500366623,False
behavior,inventory_response,库存响应比例,-0.05,0.6833743478947638,0.6492056305000256,3.380813083706419,2.7569332939273163,2.7562190350003686,66.66666666666666,7.23573850306812,6.507550899630916,3.72799677682205,3.77705304795246,2.7550663328898937,-0.02363489610365904,-0.04070562279420182,False
assumption,fear_decay,恐慌衰减速度,-0.05,0.12,0.11399999999999999,3.3786076662521207,2.7575536606717628,2.758246143825147,66.66666666666666,7.210381283945566,6.508769120810774,3.718227919493164,3.7758280738162777,2.7563061728930043,0.04161386648110462,-0.05943336051263504,False
behavior,uncertainty_floor,不确定性溢价平台,0.05,0.2958766054506273,0.3,3.3894292655740164,2.793993490952647,2.799180455636594,66.66666666666666,6.987920192393673,6.5236866892970555,3.697711812330455,3.793230297782852,2.8122060196576864,-0.278550446885356,-0.28876142886913736,False
behavior,adjustment_speed,价格调整速度,-0.05,0.45,0.4275,3.383181322521443,2.757706240337704,2.7538158594620485,66.66666666666666,7.191650349880874,6.5256215978909164,3.7828892751166636,3.7879062299703397,2.7160196379492327,-0.09370083844231043,-0.3185068160402824,False
behavior,relief_discount_strength,预期修复折价强度,-0.05,0.24,0.22799999999999998,3.4292799029444874,2.8333425108310477,2.83802520567592,66.66666666666666,7.056584604258191,6.595694563861517,3.7296250092539993,3.856617399695255,2.8755875431352305,-1.457558426336003,-1.3957398748210532,False
assumption,spr_max_release,SPR释放上限,-0.05,700.0,665.0,3.444893692477643,2.7953524370995413,2.792971159510064,62.22222222222222,7.546211485723163,6.614494030574004,3.9637427440038313,3.797266049528402,2.735004690705123,-1.9195029186641104,-1.6847444395577018,False
behavior,risk_weight,封锁风险溢价权重,0.05,2.009607695713614,2.110088080499295,3.4768326978560387,2.949382114437686,2.973973871528312,66.66666666666666,6.453289198655881,6.697282987752764,3.671999001597467,3.9038701496615187,3.0242819909955667,-2.864439930505944,-2.957460676692043,False
behavior,relief_decay_days,预期修复消退期,0.15,4.0,5.0,3.372013650190891,2.7557043418722076,2.7473451669420097,66.66666666666666,7.235787658476099,6.750532563779729,3.7296250092539993,3.777057555472398,2.717225317328704,0.23670227825583148,-3.776067437056273,False
assumption,supply_interruption,供应中断量,0.05,1472.9594690966978,1546.6074425515328,3.5527924260634944,2.979709449900808,3.0039438336911557,62.22222222222222,6.780810093490288,6.817801492368154,4.0179275737174365,3.8666780995626144,2.980762659234473,-5.111759712142708,-4.810193975022652,False
