参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率
assumption,route_start_day,绕道启动日,0.15,23.0,26.0,3.3747775697294378,2.754008570922738,2.752987168912318,66.66666666666666,7.225460445556422,6.496683528152018,3.7210636372822705,3.766946295170459,2.7549133694684462,0.15492985488874525,0.1263586887697086
behavior,buffer_relief_strength,缓冲确认折价强度,0.05,0.20703750524313,0.2173893805052865,3.3848415850056246,2.748690770186268,2.7437076882050504,66.66666666666666,7.43662230095363,6.49803176797557,3.742297943584925,3.789969573805642,2.7442790467746514,-0.1428208236168327,0.10563217193146626
assumption,route_start_day,绕道启动日,0.1,23.0,25.0,3.376392112271939,2.75480750255257,2.7537811273802624,66.66666666666666,7.229061901809047,6.499209144980263,3.7237660595658233,3.7699854941190543,2.754992283374171,0.10716252501958952,0.08753233250644142
behavior,buffer_relief_strength,缓冲确认折价强度,0.1,0.20703750524313,0.22,3.3871360229340244,2.7470034088304276,2.74101311741073,66.66666666666666,7.487260076255012,6.49960244347216,3.748362183945329,3.794245254497213,2.7416349054044735,-0.21070331695788175,0.08148614719700764
behavior,buffer_relief_strength,缓冲确认折价强度,0.15,0.20703750524313,0.22,3.3871360229340244,2.7470034088304276,2.74101311741073,66.66666666666666,7.487260076255012,6.49960244347216,3.748362183945329,3.794245254497213,2.7416349054044735,-0.21070331695788175,0.08148614719700764
assumption,route_start_day,绕道启动日,-0.15,23.0,20.0,3.377728332906763,2.753088124890532,2.7519745113829597,66.66666666666666,7.185037575643818,6.501179948217861,3.728006227797122,3.770661856623381,2.7550888154103714,0.06762953647242416,0.057235136284096474
behavior,pressure_scale,缺口价格传导系数,-0.15,0.026215856764507,0.022283478249830947,3.379245908435642,2.753405136426726,2.751568148131879,66.66666666666666,7.23582936003254,6.50142612361579,3.732769290698995,3.777061380095946,2.75506629430559,0.022731041089934453,0.05345067713877228
behavior,pressure_scale,缺口价格传导系数,-0.1,0.026215856764507,0.0235942710880563,3.379117876834477,2.7544111537847855,2.7528352081405894,66.66666666666666,7.23581542851278,6.501840522416833,3.7317147398374404,3.7770601023151906,2.755066300221902,0.026518942347120898,0.04708011636944627
assumption,route_start_day,绕道启动日,0.05,23.0,24.0,3.3782405279203593,2.755712131394588,2.7546747054157965,66.66666666666666,7.23252168222696,6.502120469666291,3.726891707014308,3.773463413791632,2.755042667549467,0.052475901602018815,0.04277648189851779
behavior,pressure_scale,缺口价格传导系数,-0.05,0.026215856764507,0.024905063926281647,3.379374573440876,2.755410936902876,2.7540944242709755,66.66666666666666,7.235801528021739,6.503000959644134,3.730666653993678,3.777058827443362,2.755066306125032,0.01892440014623172,0.029240692469320775
assumption,route_start_day,绕道启动日,-0.1,23.0,21.0,3.37897987804128,2.7543862971260933,2.7532923800655476,66.66666666666666,7.204987511893236,6.50317266434424,3.729921723426976,3.7732288680561625,2.755080739523894,0.0306017297018469,0.026601072799446544
assumption,route_max_capacity,绕道能力上限,-0.15,189.3444293213031,160.94276492310763,3.3787020063562503,2.7551249991781743,2.754138454461943,66.66666666666666,7.218015382937267,6.503326432970869,3.7284088548905343,3.774937914350525,2.7533097876231034,0.03882275088320505,0.024237184733431776
assumption,route_max_capacity,绕道能力上限,-0.1,189.3444293213031,170.4099863891728,3.3791360543335314,2.7555404070702454,2.754528525668386,66.66666666666666,7.223994531830542,6.503842238562426,3.7288279834142553,3.7756420516596965,2.7538658455688036,0.025981148779796556,0.01630769541564897
