事件窗口,开始日期,结束日期,样本数,模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,机制主模型RMSE,相对机制主模型RMSE改善率
初始冲击吸收,2026-03-02,2026-03-14,10,机制主模型,3.316800791584517,2.9514060979949774,3.2011690230935406,77.77777777777779,5.790802362121852,3.316800791584517,0.0
初始冲击吸收,2026-03-02,2026-03-14,10,朴素上一日基准,5.10132335771807,3.8679999999999977,4.233263136314678,55.55555555555556,10.819999999999993,3.316800791584517,-53.80252472989321
初始冲击吸收,2026-03-02,2026-03-14,10,机制+阶段Ridge,3.316800791584517,2.9514060979949774,3.2011690230935406,77.77777777777779,5.790802362121852,3.316800791584517,0.0
高位平台形成,2026-03-17,2026-03-31,11,机制主模型,3.729625009253997,2.9918178905179516,2.8995527854680314,80.0,6.264048199484961,3.729625009253997,0.0
高位平台形成,2026-03-17,2026-03-31,11,朴素上一日基准,4.680810924304778,3.9354545454545486,3.8214796632102326,50.0,8.340000000000003,3.729625009253997,-25.503526834217517
高位平台形成,2026-03-17,2026-03-31,11,机制+阶段Ridge,3.4389992756664625,2.979369319787639,2.8899601739861924,80.0,5.674154680881074,3.729625009253997,7.792358021689314
中期再定价回落,2026-04-01,2026-04-17,12,机制主模型,3.7770575554723953,3.1537829811682982,3.1260288555007585,63.63636363636363,7.235787658476099,3.7770575554723953,0.0
中期再定价回落,2026-04-01,2026-04-17,12,朴素上一日基准,4.488289392036418,3.6441666666666648,3.6555239925614096,45.45454545454545,9.0,3.7770575554723953,-18.830315030109983
中期再定价回落,2026-04-01,2026-04-17,12,机制+阶段Ridge,3.343919200034186,2.880142981261335,2.8621140596011663,81.81818181818183,5.815558374620508,3.7770575554723953,11.467613322721439
后期二次抬升,2026-04-20,2026-05-05,12,机制主模型,2.7550663120150225,2.1708687575565313,2.071404619059771,54.54545454545454,5.371307035730979,2.7550663120150225,0.0
后期二次抬升,2026-04-20,2026-05-05,12,朴素上一日基准,3.675676808425897,3.068333333333333,2.896365153757161,45.45454545454545,8.009999999999991,2.7550663120150225,-33.415184687062975
后期二次抬升,2026-04-20,2026-05-05,12,机制+阶段Ridge,2.7550663120150225,2.1708687575565313,2.071404619059771,54.54545454545454,5.371307035730979,2.7550663120150225,0.0
