特征,标准化系数,训练均值,训练标准差,系数绝对值
滞后1日收益率,0.0027408416643913535,0.0005580244587665347,0.026907840958872522,0.0027408416643913535
前日振幅,0.0017793123342613347,0.030834944871273324,0.021402724311743674,0.0017793123342613347
5日收益波动率,-0.0015354288492550685,0.017978897744492715,0.013202125568836357,0.0015354288492550685
3日平均收益率,0.001528002472863397,0.0005610723864196176,0.018259176804006925,0.001528002472863397
前日开收盘偏离,0.0013388667217152765,0.0004209856296936714,0.022089333371986795,0.0013388667217152765
5日平均收益率,0.0012953077806549796,0.0005496368466185124,0.015032492324890503,0.0012953077806549796
滞后10日收益率,-0.0010596495086001663,0.0004652293623995408,0.026816017248896835,0.0010596495086001663
相对20日均线偏离,-0.0009841205242596743,0.0015668011306313936,0.05449316330142358,0.0009841205242596743
滞后2日收益率,0.000903228915898116,0.0005575926341593345,0.026907875489952948,0.000903228915898116
滞后5日收益率,-0.0008868897023301005,0.0005233968687834749,0.02687146279755812,0.0008868897023301005
20日上涨天数占比,0.00084582134395512,0.5302649930264992,0.11882296790011894,0.00084582134395512
相对5日均线偏离,-0.0007665737384869571,0.0002940300963509037,0.02556832109240742,0.0007665737384869571
相对60日均线偏离,-0.0007389016103278621,0.004957601047658898,0.0981377548222149,0.0007389016103278621
20日平均收益率,0.0007112866464197952,0.0004781764442398467,0.007880593199381588,0.0007112866464197952
3日上涨天数占比,-0.0006515417059422132,0.5310708197737486,0.2907976939773901,0.0006515417059422132
20日收益波动率,0.0006465394729166379,0.02196663176781863,0.013251121924082362,0.0006465394729166379
滞后3日收益率,-0.0005333854386518205,0.0005676000663329336,0.026910935019465326,0.0005333854386518205
10日上涨天数占比,0.0005194826409625152,0.5308228730822874,0.1603495187431349,0.0005194826409625152
10日收益波动率,0.0004864253389009054,0.020436315277234326,0.013472614730585888,0.0004864253389009054
10日平均收益率,0.0002748636436196835,0.0005076091082295127,0.01106164193388591,0.0002748636436196835
60日价格分位,0.00023153928614379164,0.5458079682402149,0.3501738719535941,0.00023153928614379164
3日收益波动率,-0.0001942581398816466,0.015051345424618499,0.012812006688107364,0.0001942581398816466
5日上涨天数占比,4.6278780804436765e-05,0.5310088331008832,0.2244075943495522,4.6278780804436765e-05
120日价格分位,2.0256402946107217e-06,0.5338464485821948,0.34667768211136013,2.0256402946107217e-06
