平移天数,含义,RMSE,MAE,相关系数
-5,模型提前5天,7.666387971836171,6.768561486922612,0.4248891208339065
-4,模型提前4天,6.9140753665415415,5.931907959680999,0.5356197876200626
-3,模型提前3天,5.692581528551155,4.808352199127336,0.7009355778290807
-2,模型提前2天,4.507621124552018,3.8126760215100237,0.8203987318743647
-1,模型提前1天,3.650042899322527,3.0164928833548097,0.8861263342305363
0,原始对齐,3.3800142208570305,2.756404510609999,0.9130762411606241
1,模型滞后1天,3.8997076398806936,3.3192871797713,0.889259597941943
2,模型滞后2天,4.70911665498379,3.898381401501656,0.8353235960847292
3,模型滞后3天,5.765955933724455,4.740444272038477,0.739669828672126
4,模型滞后4天,6.897016852071992,5.74037412077566,0.5872612530916459
5,模型滞后5天,7.994585746581917,6.660754470719538,0.37596810308974005
