day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,naive_price,ridge_price,mechanism_plus_ridge_return,mechanism_plus_phase_ridge,online_corrected_price,regime_corrected_price,ridge_assist_phase,phase_gated_ridge_correction,事件段,机制误差,机制绝对误差,朴素价格,朴素误差,阶段Ridge误差,机制加Ridge误差,风险上行压力,缓冲折价,净机制压力,缓冲供给,剩余缺口占需求,实际日变化,模型日变化,拐点错向
0,0,calendar,2026-03-02,78.07,77.23048932595619,9127.0405309033,9979.52380952381,1452.483278620508,852.4832786205079,0.0,0.0,600.0,600.0,0.4130856505073493,0.4130856505073493,57400.0,20.47619047619047,-0.05,1.1718691044054057,3.27227901426319,0.0,0.0,5.66214171008388,0.0,0.0,36003,73.21,73.97990994039694,78.00039926635313,77.23048932595619,77.23048932595619,77.23048932595619,未启用,0.0,初始冲击吸收,-0.8395106740438081,0.8395106740438081,73.21,-4.859999999999999,-0.8395106740438081,-0.06960073364686536,8.93442072434707,0.0,8.93442072434707,600.0,0.08542324211972452,,,False
1,1,calendar,2026-03-03,81.96,80.77764470982913,9127.0405309033,9931.075422512242,1404.0348916089406,804.0348916089406,0.0,0.0,600.0,600.0,0.4273398072838743,0.0142541567765249,56800.0,40.95238095238095,-0.0523946678811753,1.152434221137429,2.945250688768364,2.8733297638332425,1.170578768521208,5.021869198262027,0.0,0.0,36003,78.07,79.01927653827848,81.72692124810762,80.77764470982913,80.94554684463789,80.94554684463789,未启用,0.0,初始冲击吸收,-1.182355290170861,1.182355290170861,78.07,-3.8900000000000006,-1.182355290170861,-0.23307875189237848,12.011028419384843,0.0,12.011028419384843,600.0,0.08096151296830507,3.8900000000000006,3.5471553838729477,False
2,2,calendar,2026-03-04,82.58,83.95722200249233,9127.0405309033,9884.82110378902,1357.7805728857184,757.7805728857184,0.0,0.0,600.0,600.0,0.4418976173188337,0.0145578100349594,56200.0,61.42857142857142,-0.0547893357623506,1.1351970259818482,2.65449489346151,5.342742067541697,2.2778988387050627,4.453998422459,0.0,0.0,36003,81.96,83.1496887235997,85.14691072609203,83.95722200249233,84.1936930605265,84.1936930605265,未启用,0.0,初始冲击吸收,1.3772220024923314,1.3772220024923314,81.96,-0.6200000000000045,1.3772220024923314,2.5669107260920327,14.72913422216727,0.0,14.72913422216727,600.0,0.07666103057699732,0.6200000000000045,3.179577292663197,False
3,3,calendar,2026-03-05,84.31,86.64126219579065,9227.0405309033,9840.07319422184,1313.0326633185396,613.0326633185396,100.0,0.0,600.0,700.0,0.5331169738236596,0.0912193565048258,55600.0,81.9047619047619,-0.0571840036435259,1.1199090053266818,2.0575174106824416,7.463450832588452,3.325378744205985,3.9503422259848664,0.0,0.0,36003,82.58,82.64258822739177,86.70385042318242,86.64126219579065,86.36581779529217,86.36581779529217,未启用,0.0,初始冲击吸收,2.331262195790643,2.331262195790643,82.58,-1.730000000000004,2.331262195790643,2.393850423182414,16.796689213461743,0.0,16.796689213461743,700.0,0.06229960399873007,1.730000000000004,2.6840401932983156,False
4,4,calendar,2026-03-06,93.32,88.94202859805333,9327.0405309033,9797.764156316083,1270.723625412782,470.723625412782,200.0,0.0,600.0,800.0,0.6295625453096679,0.0964455714860083,55000.0,102.38095238095238,-0.0595786715247012,1.1063497473706605,1.516385570409317,9.28312853194167,4.316252279304147,3.5036392522527255,0.0,0.0,36003,84.31,84.56772215784163,89.19975075589495,88.94202859805333,88.4757761588952,88.4757761588952,未启用,0.0,初始冲击吸收,-4.377971401946667,4.377971401946667,84.31,-9.009999999999991,-4.377971401946667,-4.12024924410504,18.61940563390786,0.0,18.61940563390786,800.0,0.048043984107265146,9.009999999999991,2.3007664022626813,False
7,5,calendar,2026-03-09,89.79,92.29542330460936,9491.759226373444,9707.075854005168,1180.035323101867,215.31662763172423,500.0,0.0,464.7186954701435,964.7186954701436,0.8175337437647735,0.1879711984551055,54535.28130452985,163.8095238095238,-0.0667626751682271,1.0741977010241448,0.6189824006736171,13.32024333382946,6.979007418654406,2.4444061613899364,0.0,0.0,36003,93.32,95.61591197778483,94.5913352823942,92.29542330460936,93.1710175849987,93.1710175849987,未启用,0.0,初始冲击吸收,2.5054233046093515,2.5054233046093515,93.32,3.529999999999987,2.5054233046093515,4.8013352823941915,23.36263931454742,0.0,23.36263931454742,964.7186954701435,0.022181409815900836,-3.529999999999987,3.3533947065560312,True
8,6,calendar,2026-03-10,91.4,94.80138294609966,9489.050345882722,9656.779196240455,1129.738665337156,167.7288503577347,600.0,0.0,362.00981497942144,962.0098149794214,0.851533053170595,0.0339993094058215,54173.27148955043,184.28571428571428,-0.0691573430494024,1.0658074573957437,0.4654831159649693,14.294921156616423,7.772436919767904,2.167993780174073,0.0,0.0,36003,89.79,92.0265975106879,97.03798045678757,94.80138294609966,94.3002982851778,94.3002982851778,未启用,0.0,初始冲击吸收,3.401382946099659,3.401382946099659,89.79,-1.6099999999999994,3.401382946099659,5.6379804567875595,24.70083497252337,0.0,24.70083497252337,962.0098149794214,0.01736902614725149,1.6099999999999994,2.505959641490307,False
9,7,calendar,2026-03-11,90.93,96.72080236212186,9490.118742755818,9612.009929685928,1084.9693987826267,121.89118693011004,700.0,0.0,263.07821185251686,963.0782118525168,0.8876547236568368,0.0361216704862418,53910.19327769792,204.76190476190476,-0.0715520109305777,1.0583659788526787,0.326952697299826,15.125321216742377,8.52298906925619,1.9228379903120696,0.0,0.0,36003,91.4,92.02222506993608,97.34302743205792,96.72080236212186,96.04052577290192,96.04052577290192,未启用,0.0,初始冲击吸收,5.790802362121852,5.790802362121852,91.4,0.46999999999999886,5.790802362121852,6.413027432057916,25.89810097361046,0.0,25.89810097361046,963.0782118525169,0.012681134104289551,-0.46999999999999886,1.919419416022194,True
10,8,calendar,2026-03-12,101.75,98.29792410509916,9462.045135541406,9570.929067782205,1043.888536878903,108.88393224079846,700.0,0.0,235.004604638105,935.004604638105,0.8956939094605371,0.0080391858037002,53675.18867305981,225.23809523809524,-0.073946678811753,1.0517659794534422,0.2826048337173394,15.831193884050707,9.23298098197296,1.705404310103923,0.0,0.0,36003,90.93,91.27517062964334,98.64309473474248,98.29792410509916,97.1397636326748,97.1397636326748,未启用,0.0,初始冲击吸收,-3.452075894900844,3.452075894900844,90.93,-10.819999999999993,-3.452075894900844,-3.1069052652575238,27.05218400984493,0.0,27.05218400984493,935.004604638105,0.01137652692540843,10.819999999999993,1.5771217429772975,False
11,9,calendar,2026-03-13,103.89,99.63394509222624,9435.33361172596,9531.841379024594,1004.8008481212928,96.50776729863357,700.0,0.0,208.29308082265945,908.2930808226596,0.9039533381375257,0.0082594286769884,53466.89559223715,245.7142857142857,-0.0763413466929283,1.0459123051039383,0.2426257628750436,16.429591792074685,9.904604554654613,1.5125579354966938,0.0,0.0,36003,101.75,102.29634548916398,100.18029058139022,99.63394509222624,100.32436027120642,100.32436027120642,未启用,0.0,初始冲击吸收,-4.256054907773759,4.256054907773759,101.75,-2.1400000000000006,-4.256054907773759,-3.7097094186097763,28.089380045101038,0.0,28.089380045101038,908.2930808226595,0.010124776888440976,2.1400000000000006,1.3360209871270854,False
