删块编号,样本口径,样本数,起始日期,结束日期,RMSE,MAE,平均偏差,最大绝对误差,实际最高价,模拟最高价
1,被删除块,10,2026-03-02,2026-03-13,3.2907605800937807,2.855360694908067,-0.4807371037371652,5.748662667513358,103.89,100.0677406009906
1,保留样本,36,2026-03-16,2026-05-05,3.513627523917005,2.8723695522812,0.12706509762504659,6.800062238536313,114.06,110.55289706349586
2,被删除块,9,2026-03-16,2026-03-26,3.530709249127671,2.7993277223686936,0.6267386252922983,6.391599468411883,109.65,103.36902495755456
2,保留样本,37,2026-03-02,2026-05-05,3.450572625035678,2.885539495402314,-0.15874797704055837,6.800062238536313,114.06,110.55289706349586
3,被删除块,9,2026-03-27,2026-04-09,4.504098068205716,4.0140180154519065,-1.3744084239331755,6.800062238536313,109.7,103.8758910608129
3,保留样本,37,2026-03-02,2026-05-05,3.1629176525781113,2.5900742889766675,0.32801752141969204,6.391599468411883,114.06,110.55289706349586
4,被删除块,9,2026-04-10,2026-04-22,2.965511127647631,2.350223913420008,1.723894656355526,5.124024505192949,101.55,102.43450132494961
4,保留样本,37,2026-03-02,2026-05-05,3.5776466947730188,2.9947809624438864,-0.4256237683802624,6.800062238536313,114.06,110.55289706349586
5,被删除块,9,2026-04-23,2026-05-05,2.7991516659903413,2.3259085578841905,-0.46796446721446233,4.558825880307168,114.06,110.55289706349586
5,保留样本,37,2026-03-02,2026-04-22,3.61010078124585,3.0006955083850313,0.10753115356919422,6.800062238536313,109.7,103.8758910608129
