day_index,trade_date,actual_price,simulated_price,effective_supply,effective_demand,supply_gap,spr_release,route_supply,inventory_buffer,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,事件段,机制模型误差,在线校正系数,预测误差校正量,online_corrected_price,在线校正后误差,分段校正基础系数,分段校正平台增量,分段校正再定价增量,分段校正尾段增量,分段预测误差校正量,regime_corrected_price,分段校正后误差
0,2026-03-02,78.07,76.3640014585839,8757.476876744307,9979.52380952381,1222.0469327795015,0.0,0.0,250.0,57750.0,20.47619047619047,-0.05,1.124245773038378,5.067290807279261,0.0,0.0,4.0932148698628374,0.0,0.0,36003,初始冲击吸收,-1.7059985414160934,0.0,0.0,76.3640014585839,-1.7059985414160934,0.0,0.0,0.0,0.0,0.0,76.3640014585839,-1.7059985414160934
1,2026-03-03,81.96,79.64534298998603,8757.476876744307,9936.591776881822,1179.1149001375145,0.0,0.0,250.0,57500.0,40.95238095238095,-0.0532987804703596,1.1108064857477902,4.586662695803235,3.5674054264934094,0.977405132740475,3.6504642697180767,0.0,0.0,36003,初始冲击吸收,-2.31465701001396,0.2,-0.3411997082832187,79.98654269826925,-1.9734573017307468,0.2,0.0,0.0,0.0,-0.3411997082832187,79.98654269826925,-1.9734573017307468
2,2026-03-04,82.58,82.88898867587072,8757.476876744307,9891.000619643342,1133.523742899035,0.0,0.0,250.0,57250.0,61.42857142857142,-0.0565975609407193,1.09882088527859,4.152320364857489,6.633323917083477,1.9019907730143992,3.2556046550605044,0.0,0.0,36003,初始冲击吸收,0.3089886758707223,0.2,-0.462931402002792,83.35192007787352,0.7719200778735171,0.2,0.0,0.0,0.0,-0.462931402002792,83.35192007787352,0.7719200778735171
3,2026-03-05,84.31,85.85675519338105,8853.130967273297,9843.997715152578,990.8667478792812,95.6540905289902,0.0,250.0,57000.0,81.9047619047619,-0.059896341411079,1.0881317307496954,3.4298324623186187,9.266306755206124,2.776611314246743,2.9034558036833427,0.0,0.0,36003,初始冲击吸收,1.5467551933810455,0.2,0.06179773517414447,85.79495745820691,1.4849574582069067,0.2,0.0,0.0,0.0,0.06179773517414447,85.79495745820691,1.4849574582069067
4,2026-03-06,93.32,88.53789171645442,8948.785057802288,9797.424059025325,848.6390012230349,191.3081810579804,0.0,250.0,56750.0,102.38095238095238,-0.0631951218814387,1.0785987895477762,2.784180445587575,11.525542078923902,3.60396689692584,2.5893978222567124,0.0,0.0,36003,初始冲击吸收,-4.782108283545568,0.2,0.3093510386762091,88.22854067777821,-5.09145932222178,0.2,0.0,0.0,0.0,0.3093510386762091,88.22854067777821,-5.09145932222178
7,2026-03-09,89.79,91.9877919086792,9235.747329389258,9698.205475851057,462.4581464617986,478.2704526449511,0.0,250.0,56500.0,163.8095238095238,-0.0730914632925177,1.0557527808655265,1.3117882165210677,16.53785407767547,5.8273034296052035,1.83674748922433,0.0,0.0,36003,初始冲击吸收,2.197791908679193,0.2,-0.9564216567091137,92.94421356538831,3.1542135653883037,0.2,0.0,0.0,0.0,-0.9564216567091137,92.94421356538831,3.1542135653883037
8,2026-03-10,91.4,94.69908482830095,9340.518518070085,9642.809403797686,302.29088572760156,573.9245431739413,9.11709815183581,250.0,56250.0,184.28571428571428,-0.0763902437628774,1.0497221721697316,0.8204367489382225,17.747973082413136,6.489797990168384,1.6380721010457204,0.0,0.0,36003,初始冲击吸收,3.2990848283009484,0.2,0.4395583817358386,94.25952644656512,2.8595264465651127,0.2,0.0,0.0,0.0,0.4395583817358386,94.25952644656512,2.8595264465651127
9,2026-03-11,90.93,96.83738642461626,9445.289706750911,9592.22955399344,146.93984724252914,669.5786337029315,18.23419630367162,250.0,56000.0,204.76190476190476,-0.0796890242332371,1.0443438760703168,0.3822953563168228,18.778962883145837,7.116490992832353,1.4608868251985514,0.0,0.0,36003,初始冲击吸收,5.907386424616249,0.2,0.6598169656601898,96.17756945895607,5.247569458956065,0.2,0.0,0.0,0.0,0.6598169656601898,96.17756945895607,5.247569458956065
10,2026-03-12,101.75,98.65859104587788,9431.557438934396,9545.317296810486,113.75985787608988,669.5786337029315,27.35129445550743,227.15063403164913,55772.84936596835,225.23809523809524,-0.0829878047035968,1.039547333898189,0.2842056532125216,19.65534470867279,7.709317172799948,1.3028671416088875,0.0,0.0,36003,初始冲击吸收,-3.091408954122116,0.2,1.1814772849232498,97.47711376095464,-4.272886239045363,0.2,0.0,0.0,0.0,1.1814772849232498,97.47711376095464,-4.272886239045363
11,2026-03-13,103.89,100.23567692340475,9404.503964650316,9500.149150748588,95.64518609827246,669.5786337029315,36.46839260734324,190.98006159573356,55581.869304372616,245.7142857142857,-0.0862865851739565,1.035269619100838,0.2298146881670996,20.398290391816083,8.270106711156119,1.1619399664675651,0.0,0.0,36003,初始冲击吸收,-3.6543230765952472,0.2,-0.6182817908244232,100.85395871422918,-3.036041285770821,0.2,0.0,0.0,0.0,-0.6182817908244232,100.85395871422918,-3.036041285770821
