sample_id,样本类型,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
0,最优参数,3.367748512782049,2.738196964463413,-3.572711690220686,0.1772883097793141,2.8536323672284634,3.1439961084062618,3.2047602909245785,4.237366177448579,2.7374858002306452,110.48728830977932,114.06,110.48728830977932,110.31,6.506379703114706,4.353632367228463,10000.0,10000.0,-0.05,-0.2480611844436452,1404.8430337721322,611.4901797728809,4,7,7,265.1083255172612,17,58000.0,299.3346520196133,430.0,21,0.1145673114630164,0.1169781269423059,0.0233869693105043,2.176555457337805,0.3,0.5448466800120859,0.45,0.22,14,0.24,29,46,5
1,局部扰动,3.5591082774726583,2.9665439357958205,-4.681866155134813,-0.9318661551348129,3.9869915796166104,2.9165914588608506,3.2029743731565707,4.4481212394745,3.0303475407682905,109.37813384486519,114.06,109.37813384486519,110.31,7.3150772776747885,6.232484503724461,10000.0,10000.0,-0.05,-0.24579206583589472,1405.7397710236758,592.8120645724325,4,7,7,259.8318393092785,17,58000.0,291.7469212051492,430.0,21,0.11595820159092754,0.11579353048316858,0.02919090157220513,2.0578754854551393,0.3,0.5622635811256436,0.45,0.21508261586101463,14,0.24,30,47,5
2,局部扰动,3.5315669024822456,2.971758732454941,-3.902097631785196,-0.15209763178519609,3.260211956782919,3.4663754428372893,3.2067415955946994,4.198118454493628,3.1911819881178296,110.1579023682148,114.06,110.1579023682148,110.31,6.925986173885542,4.881890062211076,10000.0,10000.0,-0.05,-0.24456664411765938,1401.320770660583,607.409586032441,4,7,7,277.2001066415654,16,58000.0,291.4332406334277,430.0,21,0.11461430652602907,0.11252480592836317,0.025776195648596383,2.2236851900575187,0.2923836305625919,0.5447158263845175,0.44142920101245225,0.2162591074085878,14,0.23318923574060316,30,47,5
3,局部扰动,3.3935690046055784,2.7366012532277053,-3.8942587564343825,-0.14425875643438246,3.1309038762305206,3.1407850837367306,3.2216927781193356,4.21744684619236,2.81629551146661,110.16574124356562,114.06,110.16574124356562,110.31,6.643092288489634,4.746310881378027,10000.0,10000.0,-0.05,-0.24381226655297583,1411.6032721970773,599.5169567937894,4,7,8,272.2082403949695,18,58000.0,285.8355474948434,430.0,21,0.11335398330832488,0.1192403068384387,0.02082289214979402,2.1550793654697094,0.29697338517089866,0.5401410353737293,0.4424730880459125,0.22,14,0.2398098668677438,30,46,5
4,局部扰动,3.4060966271334956,2.7387711392789944,-4.0121887397370415,-0.2621887397370415,3.2137720237766096,3.033581463340026,3.2367356027768723,4.337186645253803,2.7174136146006806,110.04781126026296,114.06,110.04781126026296,110.31,6.700197147374663,4.923523015566243,10000.0,10000.0,-0.05,-0.24700998614523056,1403.9034029436834,583.5595516703486,5,7,7,266.15621763293086,16,58000.0,301.4316092778823,430.0,21,0.10935145183754004,0.11760250646884525,0.021767231150699638,2.157431224835283,0.29585981496142205,0.5783054922228744,0.45,0.21299873849198353,14,0.24,29,46,5
5,局部扰动,3.4871360621363165,2.8635611913904437,-3.879821846845914,-0.12982184684591402,3.0553567137835027,3.1181983503010904,3.2212510106758057,4.404611786758558,2.875312947181825,110.18017815315409,114.06,110.18017815315409,110.31,6.747794969523552,4.659214191260234,10000.0,10000.0,-0.05,-0.24721123276421433,1400.0,633.0066874304629,4,7,7,267.7020704864366,18,58000.0,304.5721788593861,430.0,21,0.10770365383113199,0.11782003535209654,0.02298738928879917,2.1201203536683013,0.3,0.531490232953326,0.44414188731700976,0.2087656462695242,13,0.2327010743839087,29,46,5
6,局部扰动,3.409321692960805,2.8256523213368387,-4.0153943002054575,-0.2653943002054575,3.378107080831247,3.284191689064516,3.2008091490749218,4.1777017765903555,2.9084291415985892,110.04460569979454,114.06,110.04460569979454,110.31,6.7855582507771395,5.090422520995613,10000.0,10000.0,-0.05,-0.24776434754115384,1420.3272517238506,620.6638030003742,4,7,7,265.8751184911688,17,58000.0,297.0392935845419,430.0,21,0.11302633839265236,0.12,0.025166682481379873,2.1519805726345753,0.3,0.5399848289779934,0.4487579474876075,0.2113472296942984,14,0.23071894561693215,29,46,6
7,局部扰动,3.5070807958219627,2.9431125763799217,-4.277254933131303,-0.527254933131303,3.860736297653914,3.1936975344286846,3.181549508640162,4.303920744439402,3.0480690195787696,109.7827450668687,114.06,109.7827450668687,110.31,7.095230370470026,5.782540244158956,10000.0,10000.0,-0.05,-0.25,1426.133575667599,594.8156160612825,3,7,7,271.4654246195826,18,58000.0,306.85586355236796,430.0,21,0.11860413950624932,0.11835796149621226,0.02200216079520875,2.154897532343439,0.3,0.5525435906413007,0.43338240188812727,0.21546439600287187,14,0.24,28,47,6
8,局部扰动,3.462500237127728,2.90714760345314,-2.812235968575351,0.9377640314246491,2.1565617583156462,3.585537617983483,3.2175967642547287,4.10252914840071,3.1012832131968535,111.24776403142465,114.06,111.24776403142465,110.31,6.664915561577421,3.6565617583156462,10000.0,10000.0,-0.05,-0.25,1422.952286794803,585.0060578829906,3,7,7,265.2907679202904,17,58000.0,295.9394994539975,430.0,21,0.11692153343964441,0.1149073084364709,0.02193417029558986,2.225310171621013,0.3,0.5378776480032963,0.44204895157250335,0.22,14,0.23807157934798873,29,45,5
9,局部扰动,3.471645660881594,2.8676939372925316,-4.1238632188497775,-0.37386321884977747,3.4689670856984782,3.048420675558423,3.199667734602375,4.358836770329079,2.8933245317075738,109.93613678115022,114.06,109.93613678115022,110.31,6.88676385011842,5.2680576607783,10000.0,10000.0,-0.05,-0.2464836312264886,1404.2970162344748,612.8687412540198,4,7,7,270.52194879153615,17,58000.0,295.0390136136329,430.0,21,0.11558768066635577,0.11877665277935162,0.023018906813895637,2.1285976136109195,0.3,0.539577019772352,0.45,0.22,14,0.23489376095643624,29,47,5
