日期,实际变动,模型同日变动,实际绝对变动,捕捉类型,说明
2026-03-06,9.009999999999991,2.7921051370286847,9.009999999999991,同步,按实际价格绝对变动最大的10个交易日筛选
2026-03-12,10.819999999999993,1.8455127315494337,10.819999999999993,同步,按实际价格绝对变动最大的10个交易日筛选
2026-03-18,6.150000000000006,-0.11062442596643507,6.150000000000006,提前1日,按实际价格绝对变动最大的10个交易日筛选
2026-03-19,-6.5800000000000125,-0.7325478206054044,6.5800000000000125,同步,按实际价格绝对变动最大的10个交易日筛选
2026-03-23,-8.340000000000003,-0.5081658458477989,8.340000000000003,同步,按实际价格绝对变动最大的10个交易日筛选
2026-03-27,6.190000000000012,0.41165114866601016,6.190000000000012,同步,按实际价格绝对变动最大的10个交易日筛选
2026-04-02,9.0,0.010735118099063357,9.0,同步,按实际价格绝对变动最大的10个交易日筛选
2026-04-07,-6.280000000000001,-0.9091061268277798,6.280000000000001,同步,按实际价格绝对变动最大的10个交易日筛选
2026-04-08,-6.719999999999999,-0.8769178958786625,6.719999999999999,同步,按实际价格绝对变动最大的10个交易日筛选
2026-04-29,8.009999999999991,0.8391264317203451,8.009999999999991,同步,按实际价格绝对变动最大的10个交易日筛选
