模型平移天数,RMSE,MAE,样本数,解释,相对原始RMSE变化
-5,7.994585746581917,6.660754470719538,41,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,4.6145715257248865
-4,6.897016852071992,5.74037412077566,42,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,3.517002631214962
-3,5.765955933724455,4.740444272038477,43,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,2.3859417128674245
-2,4.70911665498379,3.898381401501656,44,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,1.3291024341267592
-1,3.8997076398806936,3.3192871797713,45,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,0.5196934190236631
0,3.3800142208570305,2.756404510609999,46,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,0.0
1,3.650042899322527,3.0164928833548097,45,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,0.2700286784654966
2,4.507621124552018,3.8126760215100237,44,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,1.1276069036949874
3,5.692581528551155,4.808352199127336,43,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,2.312567307694125
4,6.9140753665415415,5.931907959680999,42,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,3.534061145684511
5,7.666387971836171,6.768561486922612,41,负数表示把模型曲线向左移；若负数显著更优，说明原模型可能滞后,4.28637375097914
