day_index,trade_date,q10,q25,q50,q75,q90
0,2026-03-02,77.01097069325971,77.10383527131131,77.21056614014924,77.31704639514011,77.40732439298857
1,2026-03-03,80.46620447524998,80.58564551861049,80.74759677208141,80.9017141832427,81.03955982394395
2,2026-03-04,83.58377347646561,83.73544425181433,83.9212480291938,84.10104823171439,84.2642383320966
3,2026-03-05,86.24185573198554,86.42176605324906,86.61930642836641,86.81877128457387,87.00317921331408
4,2026-03-06,88.50688377397454,88.70250008732174,88.93991967902468,89.15147332934535,89.36594296924412
7,2026-03-09,91.77356717402411,91.98354189632406,92.24552663978696,92.51073328916546,92.78146130379265
8,2026-03-10,94.1978664251401,94.44504996394731,94.73652920676645,95.04847064095273,95.35423444206066
9,2026-03-11,96.0618585627622,96.3292574591979,96.6513095119204,96.98995692129938,97.31994375354996
10,2026-03-12,97.58902693203854,97.87336087767939,98.23250830991537,98.60021984216571,98.93048429346354
11,2026-03-13,98.87681872556803,99.20020736857407,99.56986180011432,99.95911345693638,100.29493216025232
14,2026-03-16,100.67850218754634,101.02535547120465,101.41069650959881,101.83347582025758,102.19876363691027
15,2026-03-17,101.99658699296192,102.3517498070458,102.77121241271908,103.19810030759251,103.59816857777368
16,2026-03-18,102.13080782097826,102.95844717559046,103.5839007758826,104.12765438760425,104.57900202764412
17,2026-03-19,101.02125947487318,102.07270212855319,102.80937591975407,103.59147534555582,104.36821663479873
18,2026-03-20,100.06959097347992,100.86759362561725,101.57443643645124,102.37254134776371,103.2547723565902
21,2026-03-23,99.56520384295787,100.0972923109255,100.66501743290468,101.31835783226987,101.90253464909809
22,2026-03-24,99.4013312734895,99.86662974486146,100.4044451988685,100.99507744429918,101.49318065761287
23,2026-03-25,99.54202857466531,100.005080737054,100.52551540532481,101.0829251987378,101.55046603225574
24,2026-03-26,99.85970739884702,100.34757892684883,100.87155123831155,101.45472243629753,101.9414731283237
25,2026-03-27,100.357921650785,100.85161207281828,101.36040932947986,101.94240869598688,102.47988927794043
28,2026-03-30,101.48656628182441,101.98680188806784,102.51335479432049,103.10225492224757,103.65845149785022
29,2026-03-31,102.36286625919078,102.8207264612987,103.31638933291833,103.94848881350944,104.50953766690284
30,2026-04-01,102.62847479650287,103.1599674306321,103.69357587780769,104.30215520074269,104.93470750447617
31,2026-04-02,102.56336933322275,103.0793123784189,103.68400610327201,104.24950437807439,104.91758183616402
35,2026-04-06,101.3532567237713,101.86874097732941,102.47425560130267,103.05725321192378,103.69931430583786
36,2026-04-07,100.54232099532261,101.04623534783833,101.62799185561289,102.22536249015705,102.84886734670944
37,2026-04-08,99.74977441901952,100.26140743155337,100.85675670637306,101.4200451562962,102.06713558891138
38,2026-04-09,98.99886558004876,99.4803094424216,100.08764877514524,100.64182384830137,101.31563273492031
39,2026-04-10,98.23376762612453,98.74528227926767,99.31854809227741,99.90681289940372,100.56636628740196
42,2026-04-13,96.71241384672281,97.19943383726704,97.80121810749145,98.37001342720413,99.06152787258237
43,2026-04-14,95.50676237537763,96.01811503486896,96.62389115289795,97.20814605300774,97.87061767216888
44,2026-04-15,94.4546169796179,94.99490932937351,95.60062999536521,96.18002392026384,96.83647641792457
45,2026-04-16,93.47286960035544,94.01692271779788,94.63719836672848,95.236094455846,95.86768104858191
46,2026-04-17,92.86962715073201,93.30601824896041,93.97514466783714,94.6647854937037,95.27901703350575
49,2026-04-20,96.17482458178377,96.7719373449188,97.36202985281952,98.06649297835042,98.8037956379109
50,2026-04-21,98.63923257099468,99.34495647487896,100.01015859814137,100.81573487741105,101.63243007166643
51,2026-04-22,100.83769230022165,101.58842466279032,102.29858551892846,103.0605470648232,103.83337141339327
52,2026-04-23,102.67575419222153,103.38833636181927,104.06969182703727,104.79404203599509,105.50371482770166
53,2026-04-24,104.15607311628519,104.82923835125332,105.47204376381055,106.16875623628917,106.8132648499353
56,2026-04-27,105.84069397376322,106.46488726863222,107.04467597403473,107.69755827052505,108.27192146465404
57,2026-04-28,106.94231021700281,107.52553944251515,108.06944629547135,108.66289977845695,109.21306932113514
58,2026-04-29,107.70180476189064,108.23113244093277,108.77015952762648,109.31888263040247,109.86703789759427
59,2026-04-30,108.22423941784663,108.7266504461548,109.24992547608088,109.78871934705273,110.28343080593932
60,2026-05-01,108.61598225987859,109.08819350624404,109.6101414057129,110.11824141359057,110.60018223814699
63,2026-05-04,108.96885619276217,109.43787744002853,109.93472054967874,110.42620547506513,110.89694594533981
64,2026-05-05,109.17968650286785,109.64256507236527,110.14107209623793,110.60806944343813,111.06225402443751
