sample_id,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
0,5.59032411285966,4.47358498360457,-0.504179172405415,3.245820827594585,1.873918709388376,7.133169654190366,3.7734752496049473,7.375888435358244,4.972767728858051,113.55582082759459,114.06,113.55582082759459,110.31,10.300695331791944,3.3739187093883762,10000.0,10000.0,-0.05,-0.2304650030124099,1631.25046378787,634.9741672124036,4,7,10,248.3402029215723,29,58000.0,277.07974749981224,430.0,21,0.1271588679044241,0.10999277911130156,0.02761905894705449,2.5104410495550185,0.2574847029947179,0.5866754987308581,0.33562247532306816,0.22,11,0.23241796431267786,27,47,4
1,4.757320838117732,4.089942496860889,-5.706687809186761,-1.9566878091867608,6.153362969197136,4.497414600404289,3.2384664840463606,4.6603523261091615,5.4407981798563885,108.35331219081324,114.06,108.35331219081324,110.31,10.047571355296927,9.218713216546544,10000.0,10000.0,-0.05,-0.24507770976515467,1406.300109848309,629.5929443936107,4,7,10,278.6464203249351,30,58000.0,252.11527843672874,430.0,21,0.14830561699612396,0.12,0.026573228720637016,2.4146973264382954,0.2629937134147665,0.7235950988409967,0.31620111879800844,0.18437103856664538,13,0.20617415786569887,24,52,4
2,8.659611906110745,7.2400162450787215,3.347052350746239,7.097052350746239,4.308027397938354,11.030380575994197,5.073024920449191,8.763146140001,9.979261306501611,117.40705235074624,114.06,117.40705235074624,110.31,17.191565639740574,8.485669278535346,10000.0,10000.0,-0.05,-0.25,1668.0017118191,700.0,4,7,11,233.8771300313762,27,58000.0,304.9810597397927,430.0,21,0.14029905459353909,0.10675687614002578,0.02548417935931513,2.785865569007702,0.28341533142858477,0.7184876412748334,0.32284283876271824,0.21652200153496545,12,0.2140274917094197,25,51,4
3,4.511817302094192,3.7357698463028304,-6.7080442254702035,-2.9580442254702035,6.221578800542306,2.8739809314199927,3.2483005655532464,5.322055783992078,4.49228373328502,107.3519557745298,114.06,107.3519557745298,110.31,9.88054442522947,10.088014180918469,10000.0,10000.0,-0.05,-0.25,1495.407656123681,700.0,5,7,9,286.50600554838564,29,58000.0,297.451993098036,430.0,21,0.12619249551836126,0.09433111931694176,0.03171741562672943,2.1273280894844993,0.24746394845627134,0.7187891145892352,0.35287429164862266,0.18666664742623248,12,0.24,26,49,4
4,6.999333877985222,5.629141547459997,-0.11984230608217672,3.6301576939178233,2.348415402107995,8.594971097403919,4.405924697686569,7.839103885972559,7.49512681262529,113.94015769391783,114.06,113.94015769391783,110.31,12.648725126841665,3.848415402107995,10000.0,10000.0,-0.05,-0.23074287567425347,1710.337937497512,640.8784787175124,4,7,9,271.7193689580944,26,58000.0,287.89850787640154,430.0,21,0.13802910502786384,0.11188489562399816,0.027954539381741444,2.508945059376011,0.2408237280556768,0.6865937616119681,0.35580035607720184,0.2159725425803344,13,0.22051354331750866,27,40,4
5,6.973724979317432,5.58192872403115,0.670108003089041,4.420108003089041,3.095006085150188,8.393987871373268,3.9875259298346606,5.219058408682267,8.946578652071448,114.73010800308904,114.06,114.73010800308904,110.31,12.903116588322112,5.13109248762142,10000.0,10000.0,-0.05,-0.22145306406153714,1411.8923774763023,647.471010016761,4,7,10,245.71687150699344,29,58000.0,250.0,430.0,21,0.11889825715497172,0.10936999552448393,0.028138504951661883,2.7909363008997277,0.2728435115692632,0.6766373994194019,0.39593907936195666,0.22,11,0.22749308511396463,29,40,4
6,3.8014721084742193,3.117449537383931,-4.39738506079172,-0.64738506079172,3.067520166429218,4.159880900510773,3.124795648935814,4.338820263488482,3.740332711083561,109.66261493920828,114.06,109.66261493920828,110.31,7.620595770372772,5.085428215062595,10000.0,10000.0,-0.05,-0.2487960612837883,1548.862361123222,700.0,4,7,9,245.07182117340562,29,58000.0,291.15310178447476,430.0,21,0.13088569407697648,0.10648575828459078,0.032475015428687,2.4394013864846156,0.22169964872462317,0.5675343971938536,0.31798435841031836,0.21167853113107654,13,0.2108266193488264,29,43,4
7,4.908150598830051,4.133562729558008,-6.7652656569864575,-3.0152656569864575,7.103883973767757,3.4321163487419954,3.3086198063559373,5.021316844737258,5.497748502840125,107.29473434301354,114.06,107.29473434301354,110.31,10.687570811955085,11.016096499356923,10000.0,10000.0,-0.05,-0.25,1400.0,700.0,5,7,11,246.69147664500946,29,58000.0,301.3013639074562,430.0,21,0.1281539264365443,0.1063473835713828,0.026758603277439015,2.6906495914675688,0.21866528449587627,0.6989396300056547,0.30447540974135096,0.22,13,0.23601094147947183,24,51,4
8,6.279180645969461,5.061021109257265,-0.2464980704670694,3.5035019295329306,2.303981755022689,8.19041417903194,4.532417765955733,6.7509123075239,6.7247753875255345,113.81350192953293,114.06,113.81350192953293,110.31,11.588686736497412,3.803981755022689,10000.0,10000.0,-0.05,-0.2457986551323498,1617.5644997868574,700.0,4,7,9,250.750800299424,27,58000.0,260.02907504082657,430.0,21,0.11306696783847192,0.10311885149650522,0.03048954827779918,2.7533602366363175,0.24637069399839936,0.6457851489049017,0.34962254737699594,0.20286293998814137,11,0.24,25,51,4
9,7.096401841638574,6.1015298739819395,2.300059388203536,6.050059388203536,4.156591144329987,8.247928692021022,5.642094773179046,8.187702830867181,6.995937677481729,116.36005938820354,114.06,116.36005938820354,110.31,14.095888896975707,7.496638654892816,10000.0,10000.0,-0.05,-0.23355486053882654,1686.567968817206,694.0620667295466,4,7,11,277.2792665507411,29,58000.0,250.0,430.0,21,0.13184906729062654,0.1185983710246583,0.027388250891885475,2.693045734484248,0.25732565801730334,0.5811919121555981,0.39301824160946014,0.19339598801587274,13,0.24,24,46,4
