事件窗口,模型,样本数,RMSE,MAE,平均误差,最大绝对误差
初始冲击吸收,机制主模型,10,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852
初始冲击吸收,阶段Ridge增强,10,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852
初始冲击吸收,混合增强候选,10,3.316800791584517,2.9514060979949774,0.1298124642277898,5.790802362121852
高位平台形成,机制主模型,11,3.729625009253997,2.9918178905179516,-0.7043757851636834,6.264048199484961
高位平台形成,阶段Ridge增强,11,3.438999275666465,2.979369319787642,-0.5389649554012963,5.674154680881088
高位平台形成,混合增强候选,11,3.438999275666465,2.979369319787642,-0.5389649554012963,5.674154680881088
中期再定价回落,机制主模型,12,3.7770575554723953,3.1537829811682982,0.06424597890129984,7.235787658476099
中期再定价回落,阶段Ridge增强,12,3.343919200034184,2.880142981261333,0.0043048107952673815,5.815558374620508
中期再定价回落,混合增强候选,12,3.343919200034184,2.880142981261333,0.0043048107952673815,5.815558374620508
后期二次抬升,机制主模型,12,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979
后期二次抬升,阶段Ridge增强,12,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979
后期二次抬升,混合增强候选,12,2.7550663120150225,2.1708687575565313,0.4228169515718487,5.371307035730979
