模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,平均误差,说明,初始冲击吸收_RMSE,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,candidate_id,base_column,shrinkage,max_abs_correction,regularized_score
阶段Ridge+在线反馈,3.18145834275414,2.682043330677021,2.6842046042233227,73.33333333333333,5.815558374620508,0.0210804375866041,只用上一日以前误差的一阶反馈,3.316800791584517,3.438999275666465,3.343919200034184,2.7550663120150225,28,enhanced_short_term_price,0.0,1.0,4.23173008472925
阶段Ridge+在线反馈,3.1779206563721187,2.6838860310204775,2.6857559715642734,71.11111111111111,5.86116577159558,0.015934861127957868,只用上一日以前误差的一阶反馈,3.3142926191860873,3.4402401158655045,3.339285937381782,2.7456743357250084,32,enhanced_short_term_price,0.15,1.0,4.23709966808085
阶段Ridge+在线反馈,3.1763352766149953,2.685114497916114,2.686790216458239,71.11111111111111,5.89157070291229,0.012504476822193404,只用上一日以前误差的一阶反馈,3.3137427973027678,3.4412682254328657,3.3370405902088907,2.740429946379847,36,enhanced_short_term_price,0.25,1.0,4.2415874272814005
阶段Ridge+在线反馈,3.1753694925604172,2.686342964811753,2.6878244613522067,71.11111111111111,5.921975634229014,0.009074092516428014,只用上一日以前误差的一阶反馈,3.31409143761543,3.442456876511487,3.3354716883271442,2.7360046633291937,40,enhanced_short_term_price,0.35,1.0,4.246803013431081
阶段Ridge+在线反馈,3.1750836960459656,2.689913311828211,2.6910075312554937,68.88888888888889,5.967583031204086,0.003928516057781473,只用上一日以前误差的一阶反馈,3.316298195166862,3.4445404987620307,3.3343886465809205,2.730911072032628,44,enhanced_short_term_price,0.5,1.0,4.255992521995239
阶段Ridge+在线反馈,3.18145834275414,2.682043330677021,2.6842046042233227,73.33333333333333,5.815558374620508,0.0210804375866041,只用上一日以前误差的一阶反馈,3.316800791584517,3.438999275666465,3.343919200034184,2.7550663120150225,29,enhanced_short_term_price,0.0,1.5,4.25673008472925
阶段Ridge+在线反馈,3.1779206563721187,2.6838860310204775,2.6857559715642734,71.11111111111111,5.86116577159558,0.015934861127957868,只用上一日以前误差的一阶反馈,3.3142926191860873,3.4402401158655045,3.339285937381782,2.7456743357250084,33,enhanced_short_term_price,0.15,1.5,4.26209966808085
阶段Ridge+在线反馈,3.1763352766149953,2.685114497916114,2.686790216458239,71.11111111111111,5.89157070291229,0.012504476822193404,只用上一日以前误差的一阶反馈,3.3137427973027678,3.4412682254328657,3.3370405902088907,2.740429946379847,37,enhanced_short_term_price,0.25,1.5,4.266587427281401
阶段Ridge+在线反馈,3.1768734516469936,2.694747117282686,2.695320894166964,66.66666666666666,6.0283928938375055,-0.002932252553745909,只用上一日以前误差的一阶反馈,3.3223764076875257,3.447878820139857,3.335317606353812,2.7270175463976076,48,enhanced_short_term_price,0.7,1.0,4.270795700170604
阶段Ridge+在线反馈,3.1753694925604172,2.686342964811753,2.6878244613522067,71.11111111111111,5.921975634229014,0.009074092516428014,只用上一日以前误差的一阶反馈,3.31409143761543,3.442456876511487,3.3354716883271442,2.7360046633291937,41,enhanced_short_term_price,0.35,1.5,4.271803013431081
