特征,冲突前非空样本,冲突窗口非空样本,可用于训练
滞后1日收益率,2189,46,True
滞后2日收益率,2188,46,True
滞后3日收益率,2187,46,True
滞后5日收益率,2185,46,True
滞后10日收益率,2180,46,True
3日平均收益率,2188,46,True
3日收益波动率,2188,46,True
3日上涨天数占比,2190,46,True
5日平均收益率,2188,46,True
5日收益波动率,2188,46,True
5日上涨天数占比,2190,46,True
10日平均收益率,2185,46,True
10日收益波动率,2185,46,True
10日上涨天数占比,2187,46,True
20日平均收益率,2180,46,True
20日收益波动率,2180,46,True
20日上涨天数占比,2182,46,True
相对5日均线偏离,2188,46,True
相对20日均线偏离,2185,46,True
相对60日均线偏离,2171,46,True
前日振幅,2189,46,True
前日开收盘偏离,2190,46,True
60日价格分位,2171,46,True
120日价格分位,2151,46,True
ovx_lag1,2190,46,True
ovx_lag3,2188,46,True
ovx_lag5,2186,46,True
ovx_lag10,2181,46,True
ovx_change_lag1,2189,46,True
ovx_change_lag3,2187,46,True
ovx_change_lag5,2185,46,True
ovx_change_lag10,2180,46,True
GPR_全球综合_滞后1月,2170,46,True
GPR_全球综合_滞后2月,2148,46,True
GPRT_威胁_滞后1月,2170,46,True
GPRA_行动_滞后1月,2170,46,True
GPR_历史标准分_滞后1月,2170,46,True
