方案,buffer_lag_days,relief_lag_days,buffer_alpha,relief_alpha,risk_alpha,RMSE,MAE,平均误差,最大绝对误差,峰值误差,末日误差,初始冲击吸收_RMSE,初始冲击吸收_MAE,高位平台形成_RMSE,高位平台形成_MAE,中期再定价回落_RMSE,中期再定价回落_MAE,后期二次抬升_RMSE,后期二次抬升_MAE,优化目标
buffer_lag0_relief_lag0_ba1.0_ra0.75,0,0,1.0,0.75,1.0,3.3505055074608032,2.741885753360335,0.0021551414958835835,6.584531225775294,-3.8086447126175074,-0.058644712617507366,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,3.7761478160549196,3.2397046221755175,2.614560654842584,2.029291880425596,4.407037307042983
risk_smooth_0.85,0,0,1.0,1.0,0.85,3.371812329066195,2.740393837012696,-0.06696219994198996,7.219017690916857,-3.7173887113424797,0.032611288657520277,3.264635267500304,2.8655125602315055,3.7393097733514513,3.0136518756072763,3.7766689058988834,3.155077727606814,2.759088456994357,2.175080943723708,4.427921456546964
risk_smooth_0.7,0,0,1.0,1.0,0.7,3.371952894764637,2.7205821109113266,-0.15886675349136556,7.2005506107968955,-3.6904493624139008,0.05955063758609924,3.235601246553312,2.7507212825996987,3.758893962948578,3.049937559088032,3.7772522408054994,3.157919906809204,2.764317584590554,2.1806671368480224,4.431092391840927
当前机制主模型,0,0,1.0,1.0,1.0,3.3800142208570323,2.756404510610001,-0.0028374995897849594,7.235787658476099,-3.736033303113871,0.01396669688612917,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,3.777057555472398,3.153782981168302,2.7550663120150216,2.1708687575565313,4.434494067536139
buffer_lag0_relief_lag1_ba1.0_ra1.0,0,1,1.0,1.0,1.0,3.370365371926466,2.8139833544543156,0.010840769472498587,6.264048199484961,-3.9231914292686128,-0.17319142926861275,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,3.8777840135840944,3.469530951690539,2.5631362232174886,2.075839688437501,4.452951746847036
buffer_lag0_relief_lag0_ba0.75_ra0.75,0,0,0.75,0.75,1.0,3.3849195364536575,2.761835990578653,0.0032965082919315346,6.8134518664089825,-3.8247755040931963,-0.07477550409319633,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,3.7800747618869592,3.219638859741836,2.6085689092315754,2.020965929796033,4.4532824245052645
buffer_lag0_relief_lag0_ba0.75_ra1.0,0,0,0.75,1.0,1.0,3.417314443460732,2.781100797209046,-0.0009411011615632649,7.464583435001927,-3.7521610406952988,-0.002161040695298766,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,3.7964219281893534,3.154199370362194,2.7432612274753447,2.16025384459218,4.485316041602923
buffer_lag0_relief_lag1_ba0.75_ra1.0,0,1,0.75,1.0,1.0,3.3983982887018493,2.840927424349283,0.012406733025551498,6.433356670420537,-3.939330635617111,-0.18933063561711094,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,3.8507866406617732,3.450801980008702,2.5720659800851906,2.0929866389832497,4.486631309084615
buffer_lag0_relief_lag0_ba1.0_ra0.55,0,0,1.0,0.55,1.0,3.400865104738985,2.8401601591212686,0.012689943641865892,6.264048199484961,-3.9553674202363993,-0.2053674202363993,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,3.931165066349508,3.47040846878215,2.6352381556956064,2.175306589235877,4.495736489761027
buffer_lag0_relief_lag0_ba0.55_ra0.75,0,0,0.55,0.75,1.0,3.4392904284153403,2.792588162118098,0.005373317477802709,7.0909161078553495,-3.8500865226958467,-0.10008652269584672,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,3.778818785119166,3.1775241777736993,2.6022213526323354,2.0095198784644794,4.524815595178173
buffer_lag0_relief_lag0_ba0.75_ra0.55,0,0,0.75,0.55,1.0,3.4310306938399355,2.8646492268205983,0.01425386699721141,6.433356670420537,-3.971504462700196,-0.22150446270019586,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,3.9173533211792497,3.4517655343679343,2.6368017444687943,2.1829566607640607,4.534185741680351
buffer_lag0_relief_lag1_ba0.55_ra1.0,0,1,0.55,1.0,1.0,3.4437423416865474,2.882864907879724,0.015145462075787897,6.525999628276523,-3.9646511934231796,-0.21465119342317962,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,3.8035246462532997,3.4108331474122693,2.5887624829496767,2.1222717675788076,4.539936914212573
buffer_lag0_relief_lag0_ba0.55_ra1.0,0,0,0.55,1.0,1.0,3.4755734262164557,2.8196677080817527,0.0020575392394636947,7.7417721885453545,-3.777466720597218,-0.027466720597217886,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,3.8175321187501052,3.141981995384821,2.7274949183517907,2.148866987047368,4.565210269600545
buffer_lag1_relief_lag0_ba1.0_ra0.75,1,0,1.0,0.75,1.0,3.4859782893924267,2.816075342977169,0.0059518355496688555,7.355800279984834,-3.853755895551714,-0.10375589555171416,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,3.8238121731227963,3.1996629565278134,2.595404188027895,2.003342578202203,4.590562157545088
buffer_lag0_relief_lag0_ba0.55_ra0.55,0,0,0.55,0.55,1.0,3.478684417506493,2.902385396914713,0.01651584407720927,6.525999628276523,-3.9968288265122993,-0.24682882651229932,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,3.887460110185814,3.410337857489322,2.6426060373734943,2.197595598802549,4.593274964473478
buffer_lag1_relief_lag1_ba1.0_ra1.0,1,1,1.0,1.0,1.0,3.486697754543876,2.9073964881450283,0.015178175804583529,6.921639941519572,-3.9683326730263104,-0.21833267302631043,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,3.8311557974458914,3.4265888733140457,2.588269302136933,2.1264810512260994,4.598479186434886
buffer_lag0_relief_lag1_ba1.0_ra0.75,0,1,1.0,0.75,1.0,3.4786067262618667,2.9452632237502945,0.016570918946247314,6.586090167661723,-4.026642920288296,-0.27664292028829607,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,4.103328027288886,3.7140203746019496,2.75887410286836,2.3345897644940075,4.611474478474379
