窗口编号,窗口起始,窗口终止,交易日数,累计收益率,窗口最高收盘价,窗口最低收盘价,价格区间比例,实现波动率,平均绝对日收益率,最大单日上涨,最大单日下跌,最大单日绝对收益,是否冲突窗口,朴素上一日基准_RMSE,朴素上一日基准_MAE,朴素上一日基准_MAPE,三日均值基准_RMSE,三日均值基准_MAE,三日均值基准_MAPE,漂移随机游走基准_RMSE,漂移随机游走基准_MAE,漂移随机游走基准_MAPE,实现波动率_历史标准分,平均绝对日收益率_历史标准分,最大单日绝对收益_历史标准分,价格区间比例_历史标准分,朴素上一日基准_RMSE_历史标准分,历史压力综合分
1,2017-09-01,2017-11-03,46,0.17840197380907208,62.09,52.2,0.17432788694399315,0.08284575757970214,0.010129439512077038,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7203501564004047,0.5621739130434785,0.9836504906401,0.8751638907934867,0.7168840579710153,1.2530339698682498,0.775401272148971,0.6007898550724644,1.0546377610343252,-0.8226124717594429,-0.8025316275681134,-0.6394197826200765,-0.2099628249132001,-1.0150900560268454,-0.6985287945716439
2,2017-09-04,2017-11-06,46,0.21673941924463858,64.11,52.2,0.20901911411239546,0.08661080815061495,0.010616482549426442,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7794925885806574,0.6060869565217394,1.0521468928835267,0.9840916076618749,0.7846014492753631,1.3592293782172378,0.806507608360266,0.6340398550724642,1.1056065597157254,-0.7715327345933557,-0.7383380654516605,-0.6394197826200765,0.06322302847389702,-0.9387125525725398,-0.6169568869522674
3,2017-09-05,2017-11-07,46,0.2172413793103447,64.11,53.19,0.19081916396954918,0.08654694169124542,0.010607597577459145,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7806741790997341,0.6078260869565221,1.0512420101030098,1.0028841560393624,0.8061956521739136,1.3911938443657796,0.8477688752373826,0.6781123188405801,1.1786238058416303,-0.7723991989068837,-0.7395091282862504,-0.6394197826200765,-0.08009761242590611,-0.9371866272660305,-0.6403244391323456
4,2017-09-06,2017-11-08,46,0.193645422071818,64.11,53.75,0.18032799291644278,0.08542242589603745,0.010212410374082556,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7669419795525608,0.5873913043478265,1.0124920197638567,0.9677087087174209,0.768478260869566,1.3195204018351694,0.828965547671949,0.6505797101449281,1.1239817074503256,-0.7876552944563282,-0.7915958482312538,-0.6394197826200765,-0.16271329803599452,-0.9549206141800763,-0.6723444311457063
5,2017-09-07,2017-11-09,46,0.1779582794904928,64.11,53.75,0.1796725959327095,0.08418411372006626,0.009921446198406009,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7546839246247113,0.5730434782608699,0.9840652666346386,0.9539789860353859,0.746920289855073,1.2793762044123271,0.8044061406593286,0.6361521739130439,1.0953763287026832,-0.8044552442277435,-0.8299456971205941,-0.6394197826200765,-0.1678744064464684,-0.9707508666414808,-0.6890165763485891
6,2017-09-08,2017-11-10,46,0.16697247706422025,64.11,53.75,0.17905826833190552,0.08441421137503818,0.00986055679432192,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7537500450645314,0.570434782608696,0.9780801382017981,0.9551800358917606,0.7432971014492757,1.2727375671269126,0.8151514089078455,0.6507644927536238,1.1173785742781577,-0.8013335523627524,-0.8379710818270008,-0.6394197826200765,-0.17271210241698584,-0.9719568939674481,-0.6908142408226898
7,2017-09-11,2017-11-13,46,0.17451162790697672,64.11,53.93,0.17532929468410924,0.08333441302407012,0.009722045255561269,0.0372208436724565,-0.0229864888576943,0.0372208436724565,False,0.7488077480089674,0.5643478260869569,0.9639311522952064,0.9519932052288681,0.7410869565217394,1.2655694300063685,0.8068544412544196,0.6314420289855079,1.077408808111846,-0.8159829747067532,-0.8562272694437402,-0.6394197826200765,-0.20207695720537702,-0.9783394571546208,-0.7050925228219039
8,2017-09-12,2017-11-14,46,0.1407379936955313,64.11,54.03,0.17311504788217064,0.08824044443645171,0.010203655978423251,0.0372208436724565,-0.0255029304609535,0.0372208436724565,False,0.7850851518479854,0.595434782608696,1.0135674374599746,0.994335283998729,0.7768840579710149,1.3220861288854813,0.835951464046536,0.6647681159420296,1.131943778924897,-0.7494237637869745,-0.7927497007626564,-0.6394197826200765,-0.21951366820037485,-0.9314902249725027,-0.6676008940287448
9,2017-09-13,2017-11-15,46,0.14362391264112517,64.11,54.75,0.16028530904136312,0.08824691271025265,0.01025875513339245,0.0372208436724565,-0.0255029304609535,0.0372208436724565,False,0.7859555247954696,0.5991304347826089,1.0190431232940367,1.0009941917816896,0.7911594202898564,1.3437971773598578,0.8447291193182317,0.6869855072463769,1.169286152195823,-0.7493360099256525,-0.7854874862234065,-0.6394197826200765,-0.32054506547397565,-0.9303662111240292,-0.6819049837596001
10,2017-09-14,2017-11-16,46,0.11945205479452059,64.11,55.05,0.15477114474050696,0.08827806118809631,0.010144972399060313,0.0372208436724565,-0.0255029304609535,0.0372208436724565,False,0.7822348140730035,0.5943478260869568,1.0081893249067526,0.9959471010145696,0.7800000000000012,1.3199836827589209,0.8375029194555795,0.6723623188405798,1.141870692821962,-0.7489134243503963,-0.8004843519293213,-0.6394197826200765,-0.3639679075929226,-0.935171197756833,-0.6927010578145935
