年份,交易日数,年初参考价,年末收盘价,年度收益率,年度最高收盘价,年度最低收盘价,年度实现波动率,最大单日上涨,最大单日下跌,平均绝对日收益率
2017,85,52.69,66.62,0.2643765420383375,66.62,52.2,0.12931291520675148,0.0400328137817882,-0.0293034427542034,0.01106448029899268
2018,257,66.62,54.15,-0.18718102671870318,86.1,50.68,0.29163260095285626,0.0887924230465666,-0.0701337295690935,0.013167387070362262
2019,258,52.8,66.03,0.25056818181818197,73.74,54.68,0.287245814180547,0.1298393913778528,-0.054167290139159,0.012473824246590604
2020,259,66.03,51.72,-0.2167196728759655,68.7,23.0,0.6629835020667942,0.1701694915254239,-0.2301098901098901,0.02503537603535193
2021,259,51.72,77.94,0.5069605568445477,85.42,50.67,0.3311600356823219,0.060555923229649,-0.1133613237836503,0.01516967196595642
2022,258,79.14,85.99,0.08655547131665386,129.47,76.51,0.46724383841484923,0.0971259682022014,-0.1309955974356993,0.021886119471524405
2023,257,85.99,77.08,-0.10361669961623443,94.45,71.93,0.3095462896921356,0.060678093331665,-0.0549945115257957,0.015109408165683656
2024,259,77.08,74.83,-0.029190451478982915,91.09,69.71,0.24968357776360783,0.0431288507902491,-0.0506228465412138,0.012022286241314772
2025,258,74.83,60.91,-0.1860216490712281,81.36,58.59,0.29819179556934927,0.0665368386887375,-0.0798363684349432,0.013997657567517382
2026,87,61.28,110.31,0.800097911227154,114.06,60.39,0.3289327384738726,0.11899263169471,-0.0798774063786994,0.026945022120512148
