参数,数值,单位,来源,用途
历史日收益波动率P75,0.023411231671801477,log return/day,2017-2025同长度窗口,衡量普通高波动窗口
历史日收益波动率P90,0.02716739089390881,log return/day,2017-2025同长度窗口,长期状态扰动参照
历史最大单日跳变P95,0.1404070874875753,abs log return/day,2017-2025同长度窗口,状态切换跳变参照
冲突窗口日收益波动率,0.04456958600730219,log return/day,2026冲突窗口,事件强度参照
冲突窗口最大单日跳变,0.11242884458488278,abs log return/day,2026冲突窗口,事件跳变强度参照
冲突窗口波动历史分位数,0.9552656104380243,percentile,历史窗口对比,判断事件是否高压
冲突窗口跳变历史分位数,0.8942218080149115,percentile,历史窗口对比,判断事件是否高跳变
状态转移日度扰动波动率,0.013163047786680692,price return scale,历史+事件混合校准,进入长期状态转移模型
蒙特卡洛压力噪声标准差,0.07343429636533086,stress index scale,历史波动分位校准,进入蒙特卡洛压力抽样
状态切换跳变标准差乘数,0.8007348246920346,multiplier,历史跳变P95校准,进入长期状态转移模型
