检验,情景,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,第180天有效供给,第180天有效需求,第180天剩余缺口,第180天供给过剩,第180天SPR计划释放,第180天SPR实际释放,第180天SPR释放比例,第180天不确定性溢价,第180天冲击不确定性,第180天制度风险溢价,第180天过剩供给折价
当前模型,中性,109.76790698452947,107.55270294339726,104.32704412856036,98.60523803966915,110.42032542579388,8956.373983571611,8856.373983571611,0.0,100.0,669.5786337029315,211.8525548795733,0.31639682662509333,12.18883300804363,1.1829867323452845,11.005846275698346,0.04599356917751011
不确定性溢价减半,中性,109.76790698452947,99.7679933417,96.74650679530862,91.99795700040636,110.42032542579388,9117.688794957008,9017.688794957008,0.0,100.0,669.5786337029315,373.16736626497004,0.5573167175321357,5.6105969836845855,0.5914933661726423,5.019103617511943,0.04599356917751011
不确定性随时间衰减,中性,109.76790698452947,99.31918722135742,94.00955315604357,87.67292924157522,110.42032542579388,9230.786545593926,9130.786545593926,0.0,100.0,669.5786337029315,486.2651169018882,0.7262255580240438,1.2655272678779141,0.29033509151236975,0.9751921763655444,0.04599356917751011
强过剩供给折价,中性,109.76790698452947,107.20908931445415,104.13909961528896,98.44484520033029,110.42032542579388,8960.119049878414,8860.119049878414,0.0,100.0,669.5786337029315,215.59762118637627,0.3219899954006438,12.166368410172828,1.1829867323452845,10.983381677827543,0.18397427671004044
更强SPR价格反馈,中性,109.76790698452947,107.77055489443246,104.32712663468111,98.98020804666405,110.51756199588202,8897.650140437923,8847.650140437923,0.0,50.0,669.5786337029315,153.12871174588508,0.22869414291051424,12.541085121452129,1.1829867323452845,11.358098389106845,0.022996784588755054
当前模型,悲观,109.76790698452947,126.62668720440313,119.75133951947049,114.49043923513346,131.21815206950032,8730.0,9261.971820355035,531.9718203550347,0.0,200.0,200.0,1.0,19.207650284540684,1.5970320886661338,17.61061819587455,0.0
不确定性溢价减半,悲观,109.76790698452947,115.118395119923,109.2539064466232,105.09164567835764,119.47788108964141,8730.0,9344.272893999585,614.272893999585,0.0,200.0,200.0,1.0,9.603825142270342,0.7985160443330669,8.805309097937275,0.0
不确定性随时间衰减,悲观,109.76790698452947,116.63842515314045,107.49265944492026,99.80239974459984,123.66730879860796,8730.0,9393.794598189592,663.7945981895919,0.0,200.0,200.0,1.0,4.092766820968711,0.3919523735416991,3.700814447427012,0.0
强过剩供给折价,悲观,109.76790698452947,126.62668720440313,119.75133951947049,114.49043923513346,131.21815206950032,8730.0,9261.971820355035,531.9718203550347,0.0,200.0,200.0,1.0,19.207650284540684,1.5970320886661338,17.61061819587455,0.0
更强SPR价格反馈,悲观,109.76790698452947,126.62668720440313,119.75133951947049,114.49043923513346,131.21815206950032,8730.0,9261.971820355035,531.9718203550347,0.0,200.0,200.0,1.0,19.207650284540684,1.5970320886661338,17.61061819587455,0.0
