情景,day_index,预测价格,有效供给,有效需求,剩余缺口,供给过剩,SPR计划释放,SPR实际释放,SPR释放比例,不确定性溢价,冲击不确定性,制度风险溢价,过剩供给折价
乐观,60,109.76790698452947,9414.10006239497,8623.940409689867,0.0,,,669.5786337029315,,17.441301361590774,,,
乐观,90,93.7460875074902,9025.356292712464,8890.192706906302,0.0,135.1635858061618,687.3794555555555,129.89796972046292,0.188975635903282,7.642456601933993,3.01044313542368,4.632013466510313,0.1249018994319573
乐观,120,92.27000129786822,8977.887699541587,8925.830287134477,0.0,52.05741240710995,687.3794555555555,82.42937654958659,0.119918301141202,6.290775147457865,1.9719110833532771,4.318864064104588,0.0481051878757152
乐观,180,87.38528797915987,9104.084350640534,9054.084350640534,0.0,50.0,687.3794555555555,208.62602764853364,0.3035092567320293,3.8311235059046025,0.8378538071203355,2.993269698784267,0.0462039752374871
中性,60,109.76790698452947,9414.10006239497,8623.940409689867,0.0,,,669.5786337029315,,17.441301361590774,,,
中性,90,105.55038738458104,8860.382884338987,8718.599141020839,0.0,141.78374331814848,647.629420960858,122.3861816557525,0.188975635903282,12.780889431734456,4.341634712221645,8.439254719512808,0.1619865912187749
中性,120,100.991980026465,8867.511788798509,8817.511788798509,0.0,50.0,647.629420960858,129.51508611527424,0.1999833267659746,10.228807091657885,2.8438728864069,7.384934205250984,0.057124529028442
中性,180,93.13679996007797,9053.859898774568,9003.859898774568,0.0,50.0,647.629420960858,315.8631960913335,0.487722122973817,6.178159855107786,1.2083454193027818,4.969814435805004,0.057124529028442
悲观,60,109.76790698452947,9414.10006239497,8623.940409689867,0.0,,,669.5786337029315,,17.441301361590774,,,
悲观,90,124.83339609753058,8741.006718183311,9192.408128256886,451.4014100735749,0.0,200.0,200.0,1.0,19.896535697397855,5.885807858469054,14.0107278389288,0.0
悲观,120,116.08678403292984,8741.006718183311,9262.217396099644,521.2106779163332,0.0,200.0,200.0,1.0,16.196278585480872,3.85534262847636,12.340935957004511,0.0
悲观,180,108.20750229665808,8741.006718183311,9328.743603509029,587.7368853257176,0.0,200.0,200.0,1.0,11.66583392160654,1.6381131615372797,10.02772076006926,0.0
