因素,来源,当前处理方式,纳入决策,解释重要性,附件数据可得性,边际贡献预期,过拟合风险,备注,综合纳入分
供应中断量,赛题明确要求,物理供需层,进入主模型,5,5,5,1,决定基础供需缺口,4.1
短期需求弹性,赛题明确要求,需求函数,进入主模型,5,5,5,1,解释低弹性理论高价,4.1
SPR释放,赛题明确要求,供给补充,进入主模型,5,5,5,2,消融后误差显著变差,3.95
地缘风险溢价,现实扩展因素,价格形成层,进入主模型,5,3,5,3,解释高位风险重估,3.3
不确定性平台,现实扩展因素,价格形成层,进入主模型,5,3,5,3,敏感性排序最高,3.3
商业库存,赛题明确要求,库存缓冲,进入主模型,4,4,4,2,影响短期缓冲和长期耗尽风险,3.1
绕道运输,赛题明确要求,运输恢复,进入主模型,4,4,4,2,影响恢复路径和长期缺口,3.1
需求收缩,赛题隐含机制,需求回落,进入主模型,4,4,4,2,消融后低价回落段恶化,3.1
预期修复折价,现实扩展因素,价格形成层,进入主模型,4,3,5,3,消融后后期误差恶化,2.95
缓冲确认折价,现实扩展因素,价格形成层,进入主模型,4,3,4,3,解释缓冲被确认后的回落,2.7
恐慌情绪,赛题明确要求,风险溢价,进入主模型,4,3,3,3,解释冲突初期情绪放大,2.45
OPEC+剩余产能,现实扩展因素,长期供给,进入长期情景,4,2,3,2,主要影响60-180天供给恢复,2.35
非OPEC供给响应,现实扩展因素,长期供给,进入长期情景,3,2,2,2,短期反应慢，适合情景项,1.75
冲突升级概率,现实扩展因素,尾部风险,进入悲观情景,5,2,3,3,适合情景而非短期拟合参数,2.55
期货期限结构,现实扩展因素,市场结构,进入改进方向,4,1,3,3,需期限曲线数据,1.95
美元指数和利率,现实扩展因素,宏观背景,进入改进方向,3,1,2,3,非赛题主线，需额外数据,1.35
油轮保险费和航运费率,现实扩展因素,风险解释,暂不单独参数化,4,1,2,4,缺少附件内直接观测,1.55
投机资金和套保需求,现实扩展因素,风险解释,暂不单独参数化,3,1,2,4,识别难度高,1.2
