指标,数值,解释
冲突窗口OVX均值,87.07304347826089,Cboe原油ETF期权隐含波动率在冲突窗口内的平均水平
冲突窗口OVX最大值,120.91,冲突窗口内市场定价的最高30日预期波动率
冲突窗口OVX均值历史分位,97.30470534490635,使用同长度历史窗口均值计算，衡量事件窗口隐含波动率是否异常
OVX_lag1_与绝对收益相关,0.4220259916548481,滞后OVX与当日绝对收益率的相关性，检验隐含波动率是否更适合解释波动而非方向
OVX_lag1_与7日实现波动相关,0.789759327070193,滞后OVX与7日实现波动率的相关性
OVX_change_lag1_与收益相关,-0.07417687400725276,滞后OVX变化与当日收益方向的相关性，通常不应被包装成强方向预测器
OVX_lag3_与绝对收益相关,0.379624978005652,滞后OVX与当日绝对收益率的相关性，检验隐含波动率是否更适合解释波动而非方向
OVX_lag3_与7日实现波动相关,0.7564692278917974,滞后OVX与7日实现波动率的相关性
OVX_change_lag3_与收益相关,-0.029911171342079573,滞后OVX变化与当日收益方向的相关性，通常不应被包装成强方向预测器
OVX_lag5_与绝对收益相关,0.3947151121726348,滞后OVX与当日绝对收益率的相关性，检验隐含波动率是否更适合解释波动而非方向
OVX_lag5_与7日实现波动相关,0.7154758095860223,滞后OVX与7日实现波动率的相关性
OVX_change_lag5_与收益相关,-0.030127500457656435,滞后OVX变化与当日收益方向的相关性，通常不应被包装成强方向预测器
OVX_lag10_与绝对收益相关,0.3619030930934116,滞后OVX与当日绝对收益率的相关性，检验隐含波动率是否更适合解释波动而非方向
OVX_lag10_与7日实现波动相关,0.6407926755248328,滞后OVX与7日实现波动率的相关性
OVX_change_lag10_与收益相关,0.032639327386168406,滞后OVX变化与当日收益方向的相关性，通常不应被包装成强方向预测器
