day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,阶段,is_observed_price,forecast_price,supply_balance,gross_supply_gap_before_spr,scheduled_spr_release,spr_remaining,spr_budget_total,spr_budget_used,spr_future_budget,spr_exhaustion_pressure,spr_taper_ratio,scheduled_route_supply,price_anchor,shock_uncertainty_premium,regime_risk_premium,spr_exhaustion_premium,oversupply_discount,scenario,情景
0,0.0,calendar,2026-03-02,78.07,76.2166591575255,8973.556245369859,9979.52380952381,1401.1463590371568,1005.9675641539508,0.0,0.0,395.1787948832052,0.6172186983936889,395.1787948832052,0.2820396258637571,0.098713869052315,0.098713869052315,0.098713869052315,57604.821205116794,20.47619047619047,20.47619047619047,0.0,-0.05,1.1265696037766828,5.00277523582717,0.0,0.0,4.169772311620924,0.0,0.0,36003.0,附件观测期,True,76.2166591575255,,,,,,,,,,,,,,,,optimistic,乐观情景
1,1.0,calendar,2026-03-03,81.96,79.35289640501445,8972.748488749554,9945.224909196191,1366.847458709541,972.4764204466392,0.0,0.0,394.3710382629017,0.6120497877408674,394.3710382629017,0.2885260061391436,0.165148117032705,0.165148117032705,0.06643424798039,57210.450166853894,33.50938334007481,40.95238095238095,21.265707463731815,-0.0528928898947502,1.1125207988806094,4.571711346437984,3.2646639292139636,1.1383478281024884,3.706941458722239,0.0,0.0,36003.0,附件观测期,True,79.35289640501445,,,,,,,,,,,,,,,,optimistic,乐观情景
2,2.0,calendar,2026-03-04,82.58,82.47395364626057,8971.9423832066,9909.420639302323,1331.0431888156709,937.4782560957228,0.0,0.0,393.56493271994873,0.6152848371493245,393.56493271994873,0.2956815646756985,0.2108348237077527,0.2108348237077527,0.0456867066750477,56816.885234133944,45.731992591360495,61.42857142857142,44.847368106316935,-0.0557857797895004,1.100031364584733,4.178637652456755,6.070398716688926,2.215178735005486,3.295483290561741,0.0,0.0,36003.0,附件观测期,True,82.47395364626057,,,,,,,,,,,,,,,,optimistic,乐观情景
3,3.0,calendar,2026-03-05,84.31,85.46198066089124,8971.13792536615,9872.808380344546,1294.4309298578935,901.6704549783954,0.0,0.0,392.7604748794976,0.635402875703746,392.7604748794976,0.3034232772254723,0.2432407824389545,0.2432407824389545,0.0324059587312018,56424.124759254446,57.5195308082352,81.9047619047619,69.67208884721913,-0.0586786696842506,1.088928215940779,3.820890554975058,8.479938163487294,3.2338171278018364,2.929695610060994,0.0,0.0,36003.0,附件观测期,True,85.46198066089124,,,,,,,,,,,,,,,,optimistic,乐观情景
4,4.0,calendar,2026-03-06,93.32,88.25408579791993,8970.33511186025,9835.984006204286,1257.6065557176337,865.6488943440363,0.0,0.0,391.9576613735978,0.6708219537753621,391.9576613735978,0.3116695436991685,0.2671908488800295,0.2671908488800295,0.0239500664410748,56032.16709788085,69.19285315761863,102.38095238095238,94.82314063809643,-0.0615715595790008,1.0790574798538417,3.495897111766592,10.547447511926382,4.197407760859515,2.604509145044884,0.0,0.0,36003.0,附件观测期,True,88.25408579791993,,,,,,,,,,,,,,,,optimistic,乐观情景
7,5.0,calendar,2026-03-09,89.79,91.71413729946164,9178.470511684309,9751.410233219714,1173.032782733062,572.9397215354074,191.64203952993705,17.294532826533526,391.156488841183,0.6154234997777349,600.0930611976535,0.5115739901143171,0.3527249483120301,0.3527249483120301,0.0855340994320006,55641.010609039666,118.15862374834435,163.8095238095238,130.43114303194125,-0.0702502292632515,1.0555460428917878,2.0279544901404347,15.134398594852536,6.786846089283451,1.829936610048504,0.0,0.0,36003.0,附件观测期,True,91.71413729946164,,,,,,,,,,,,,,,,optimistic,乐观情景
8,6.0,calendar,2026-03-10,91.4,94.44833732798833,9278.392191280733,9709.456777132133,1131.0793266454805,431.0645858514017,287.4630592949055,34.58906565306705,377.9626158461077,0.6016844469852258,700.0147407940804,0.618890933910146,0.4458830432713707,0.4458830432713707,0.0931580949593405,55263.047993193555,127.07013274147836,184.28571428571428,163.47309012638834,-0.0731431191580017,1.0493806169439237,1.4654327262328932,16.241823009101587,7.558429150273017,1.626819734909094,0.0,0.0,36003.0,附件观测期,True,94.44833732798833,,,,,,,,,,,,,,,,optimistic,乐观情景
9,7.0,calendar,2026-03-11,90.93,96.67866266751336,9314.493720986284,9670.55761919806,1092.1801687114075,356.0638982117762,383.2840790598741,51.883598479600586,300.9485929601568,0.5536561048331663,736.1162704996315,0.6739879477651817,0.5257197598442046,0.5257197598442046,0.0798367165728338,54962.0994002334,137.6262638172703,204.76190476190476,191.81611698466983,-0.0760360090527519,1.0438995327626306,1.1644092489945557,17.18531969967763,8.288315452864166,1.4462481570984829,0.0,0.0,36003.0,附件观测期,True,96.67866266751336,,,,,,,,,,,,,,,,optimistic,乐观情景
10,8.0,calendar,2026-03-12,101.75,98.5241753990628,9352.992430092683,9633.660287246948,1055.2828367602942,280.6678571542616,479.10509882484257,69.1781313061341,226.33174947505492,0.4923826440775607,774.6149796060316,0.7340354193422594,0.5986302406685238,0.5986302406685238,0.0729104808243191,54735.767650758346,149.26030119157952,225.23809523809524,217.0794115614735,-0.0789288989475021,1.0390268306887651,0.8842063965082315,17.98732894504363,8.978758312025613,1.285719423626022,0.0,0.0,36003.0,附件观测期,True,98.5241753990628,,,,,,,,,,,,,,,,optimistic,乐观情景
11,9.0,calendar,2026-03-13,103.89,100.0677406009906,9396.16987734785,9598.248168510843,1019.8707180241908,202.078291162994,574.926118589811,86.47266413266765,156.39364413871928,0.4390388030699475,817.792426861198,0.8018589144764526,0.6697602765012989,0.6697602765012989,0.0711300358327751,54579.374006619626,161.6940687585855,245.7142857142857,240.057762730572,-0.0818217888422523,1.0346949823326157,0.6141121764137968,18.667225868199697,9.63188927238844,1.1430088454568477,0.0,0.0,36003.0,附件观测期,True,100.0677406009906,,,,,,,,,,,,,,,,optimistic,乐观情景
