day_index,trade_date,p05,p10,p25,p50,p75,p90,p95
65,2026-05-06,108.23865157059622,108.70443955141312,109.46336470801955,110.3264410429185,111.15238446305693,112.02367514475587,112.61626221695603
66,2026-05-07,106.82413278660492,107.61439911729228,108.93791580520647,110.3535722730263,111.70839469759333,113.41471990139284,114.88057671555885
67,2026-05-08,105.51463687878586,106.6854406760925,108.60042829493737,110.3234502242298,112.32620023245272,114.89205143195113,117.10560419319958
68,2026-05-09,104.5792991339899,106.07028653296287,108.25345562796585,110.42630615684787,112.80191849890329,116.74470897466828,119.4479964752263
69,2026-05-10,104.1677788344492,105.53686866532357,108.0229680891006,110.38099548357857,113.24302093709359,117.92232274655818,120.59629407058308
70,2026-05-11,103.49644974000695,105.29121004880348,107.67302691972014,110.30596582360653,113.78666215381865,119.04292545610602,122.22602464840305
71,2026-05-12,103.1743959573933,105.04327689981925,107.67666910705415,110.31865663816669,114.21653051962718,119.76174925764411,123.1086071012269
72,2026-05-13,103.08393448224292,104.9080826758631,107.52580685620852,110.34980325303127,114.2800955062991,120.07552910460144,123.91693214697649
73,2026-05-14,103.09270850844402,104.85437714363951,107.45520340560944,110.30928537226126,114.60937780338422,120.6020418486846,124.53350505046683
74,2026-05-15,103.1162292133131,104.62881395573108,107.32559889928334,110.17091494562024,114.58355072601033,120.70186518605692,124.47746364185758
75,2026-05-16,102.8542894198292,104.4747461334373,107.13157587887679,110.23534309050761,114.60512280286878,120.698087497721,124.53906094311361
76,2026-05-17,102.4157580719144,104.41301447128109,106.98749273110164,110.15367848573189,114.75406145126647,120.81370428347724,124.60589176804575
77,2026-05-18,102.14139698868121,104.18627533315504,106.84669609687063,110.06804398622724,114.81487390114462,120.83709716959753,124.45946356266427
78,2026-05-19,102.3057912795515,104.00527744952964,106.82466143055564,109.87564332990577,114.40636125432195,120.85019264573216,124.70745627187605
79,2026-05-20,102.2723672128756,103.91764747492665,106.57599305808284,109.6184740880752,114.23459950841345,121.01740814537746,124.55635202352482
80,2026-05-21,102.20225950508281,103.64448435238377,106.21174864096986,109.48400592346879,114.04299486980636,120.40416581970155,123.64899738385789
81,2026-05-22,101.97519626618497,103.51237862794393,106.06668876498637,109.32197355339164,114.13057423206058,119.9875497564,123.4485668997016
82,2026-05-23,101.73878512889105,103.34005381879136,105.911138864088,109.10967250746451,113.74331917030702,119.51271340883315,123.0461428964607
83,2026-05-24,101.6123044814205,103.19695858721794,105.7104352658401,108.97983943503064,113.54747171522948,119.11692225819691,122.9030596156087
84,2026-05-25,101.360597344887,103.01850139893413,105.61345321819485,108.61937595942766,113.41220583190271,119.1440387554818,122.7669108900689
85,2026-05-26,101.03111362664055,102.75990935599705,105.23534350673184,108.40363361314397,112.92996395872055,118.89794860290921,122.39751112130966
86,2026-05-27,101.00630610968423,102.51282223429396,105.24655673808658,108.1817509392367,112.53564446839412,118.49954970792612,122.04764472435242
87,2026-05-28,100.79636621406276,102.49633562209516,104.96442217762541,108.00653597027762,112.2914955971429,118.17137138068938,121.67300305663522
88,2026-05-29,100.81251237519884,102.38025390774918,104.75044500556916,107.87913628595769,112.0733357158467,117.64847823128979,121.58082087009834
89,2026-05-30,100.70043417706339,102.1272065400097,104.51269380826486,107.60269287424838,111.79388875460293,117.79502892076992,121.09397038070412
90,2026-05-31,100.33727038720156,102.01897022381557,104.36399119157235,107.34851895115999,111.55479176806864,117.42001224261061,121.1366364746109
91,2026-06-01,100.18562348756336,101.7964666423769,104.13943373830945,107.12517680732594,111.5453031895791,117.23765252697687,120.55576137701085
92,2026-06-02,100.2703299444908,101.54230646634998,103.88509063309714,106.75633084379317,111.36267474838141,117.00420046353057,120.27795874810299
93,2026-06-03,100.05878059875093,101.42932136764556,103.69232137712886,106.48546693195539,111.07979718117406,116.67823455816415,120.25135565774448
94,2026-06-04,99.9813836962785,101.1866909565053,103.51934382061964,106.36729483372919,110.84090438311411,116.35091698834255,119.56041833460212
95,2026-06-05,99.810963063187,101.05634288631958,103.20149039287207,106.07793808251766,110.66759581354641,116.10507242293627,119.14278357955145
96,2026-06-06,99.67489761444497,100.97942981606514,102.95587374496458,105.88517252582028,110.40254936779888,116.09851234004498,118.7645606527816
97,2026-06-07,99.62831664587803,100.81539566812744,102.87731368960132,105.66489440808954,110.2981198972497,115.34530770865688,118.65539822795903
98,2026-06-08,99.35049811047628,100.60644720414001,102.7587391027009,105.51775557063482,110.0055134914754,115.19308840727682,118.13079129617374
99,2026-06-09,99.29699052856154,100.35631284436556,102.72952300828025,105.33043929255068,109.54108329398332,114.96742907480916,117.74441445864483
100,2026-06-10,99.12564789710001,100.32420199289079,102.35821004803313,105.19097252779576,109.31882296263844,114.48222733343913,117.36294999908546
101,2026-06-11,98.8987994701518,100.1092864974237,102.19250159148046,104.9990151907945,108.93827110393435,114.13555420611357,117.33932310494734
102,2026-06-12,98.7330975865092,99.83487076321127,101.9464112936974,104.76944305759412,108.74343843069954,113.7245870069684,117.00123640978136
103,2026-06-13,98.53901877548013,99.5542169193955,101.81911267368511,104.5569383743746,108.4453794804279,113.34973180431317,116.47868945321692
104,2026-06-14,98.33936991407056,99.40678749092312,101.6480490032436,104.32459349329332,108.16495712326949,112.85140407997052,115.89698261329067
105,2026-06-15,98.10232226172282,99.30176881423458,101.36927335679592,104.18939090928039,107.99300197381521,112.43409099907942,116.22613156759716
106,2026-06-16,97.90870740940525,99.07504374954839,101.15559563698122,104.03431595583302,107.8152884127627,112.55512736883401,115.8985754879409
107,2026-06-17,97.76190569463728,98.90774701290749,101.1126710951891,103.70164090563989,107.62324110151151,112.35708605236401,115.6031990829762
108,2026-06-18,97.66376447927702,98.80967860148253,100.89874002642205,103.55835310011344,107.24459107747805,112.08897974835811,115.59251289481875
109,2026-06-19,97.33821282884988,98.44548909814326,100.7055132539644,103.3852495682403,107.02243902647747,112.14956034765623,115.33996090645432
110,2026-06-20,97.07734368658242,98.33730822776332,100.43980187551762,103.08987962840365,106.96338353401273,112.02184693109363,115.35688618187255
111,2026-06-21,97.02961845801451,98.10860940135684,100.13860342702382,102.93051029458223,106.73059287907915,112.04974430979658,115.1485753107629
112,2026-06-22,96.82213039646201,97.80869969032516,100.11540587507662,102.75247790123623,106.62173198716388,112.03687935351576,114.8048282356584
113,2026-06-23,96.69431176579415,97.74204116696657,99.78540586768418,102.37449587268281,106.67291642198994,111.65305150212453,114.6378763468178
