trade_date,thscode,pre_close,open_price,high_price,low_price,close_price,log_return,return_pct,volatility_7d,volatility_14d,volatility_30d,is_event_window,return_5d,return_10d,volatility_14d_calc,volatility_30d_calc,drawup_20d,drawdown_20d,状态,state,高波动样本,上行压力样本
2017-09-15,BRN0W.ICE,55.05,55.07,55.56,54.63,55.33,0.005073393741329487,0.005086285195277,0.0082686443484721,0.0105878865371743,0.0105878865371743,False,0.028971589902246082,0.04888957268882401,0.010044551119471222,,0.05996168582375461,0.0,维持,neutral,False,True
2017-09-18,BRN0W.ICE,55.33,55.36,55.73,54.65,55.19,-0.0025334794586085205,-0.0025302729080065,0.0083792973466715,0.010290841674571,0.010290841674571,False,0.023094868102274145,0.05569928256281685,0.009811932548553007,,0.05727969348659001,-0.002530272908006559,维持,neutral,False,True
2017-09-19,BRN0W.ICE,55.19,55.19,55.63,54.67,55.15,-0.0007250317518983787,-0.0007247689798876,0.0051306944927391,0.0099149893194745,0.0099149893194745,False,0.020517297843537056,0.03618633694528519,0.009492879547579517,,0.056513409961685745,-0.0032532080245797346,维持,neutral,False,True
2017-09-20,BRN0W.ICE,55.15,55.08,56.06,55.02,55.82,0.012075482408664644,0.0121486854034451,0.0060213342233033,0.0097662396578386,0.0097662396578386,False,0.019354859411565912,0.030004978438368534,0.009383099556166357,,0.06934865900383147,0.0,维持,neutral,False,True
2017-09-21,BRN0W.ICE,55.82,55.85,56.18,55.49,56.1,0.005003584420474648,0.0050161232533143,0.0058696000909284,0.0093843128872438,0.0093843128872438,False,0.018893949359961828,0.028935110859452242,0.00904295016950449,,0.07471264367816088,0.0,维持,neutral,False,True
2017-09-22,BRN0W.ICE,56.1,56.15,56.46,55.91,56.42,0.005687893045199516,0.0057040998217468,0.0047745953460727,0.0084993701387598,0.0090483329074078,False,0.019508448663831904,0.04848003856607805,0.008190197999627141,,0.08084291187739456,0.0,维持,neutral,False,True
2017-09-25,BRN0W.ICE,56.42,56.42,58.64,56.23,58.52,0.036544870578073346,0.0372208436724565,0.0131506285653885,0.0114419060979437,0.0118471176741777,False,0.05858679870051379,0.0816816668027879,0.011025696599321637,,0.12107279693486594,0.0,维持,neutral,False,True
2017-09-26,BRN0W.ICE,58.52,58.51,58.87,57.24,58.03,-0.008408457949406664,-0.0083732057416268,0.0146747446231548,0.0116100393020025,0.0120316194743841,False,0.05090337250300545,0.07142067034654245,0.011187713808723316,,0.1116858237547893,-0.00837320574162681,维持,neutral,False,True
2017-09-27,BRN0W.ICE,58.03,58.08,58.33,57.26,57.32,-0.012310515242545797,-0.0122350508357745,0.0161072254713196,0.0124764543009217,0.0124186396315547,False,0.026517374851794905,0.045872234263361004,0.012022612192385195,,0.09808429118773931,-0.02050580997949425,维持,neutral,False,True
2017-09-28,BRN0W.ICE,57.32,57.41,58.22,56.64,57.27,-0.0008726765542051151,-0.0008722958827633,0.0161166915469707,0.0115249846559505,0.0121357700051298,False,0.02064111387711543,0.03953506323707711,0.011105753100978905,,0.09712643678160915,-0.0213602187286398,维持,neutral,False,True
