矩阵,当前状态,转为缓和,转为维持,转为升级,样本转移数
当前基础矩阵,缓和,0.47761194029850745,0.5223880597014926,0.0,
当前基础矩阵,维持,0.06457564575645751,0.8800738007380076,0.05535055350553501,
当前基础矩阵,升级,0.0,0.254957507082153,0.7450424929178471,
历史全样本矩阵,缓和,0.47761194029850745,0.5223880597014925,0.0,201.0
历史全样本矩阵,维持,0.06457564575645756,0.8800738007380073,0.055350553505535055,1626.0
历史全样本矩阵,升级,0.0,0.254957507082153,0.7450424929178471,353.0
历史高波动条件矩阵,缓和,0.0,0.0,0.0,0.0
历史高波动条件矩阵,维持,0.0,0.6528497409326425,0.3471502590673575,193.0
历史高波动条件矩阵,升级,0.0,0.254957507082153,0.7450424929178471,353.0
历史收缩推荐矩阵,缓和,0.47761194029850745,0.5223880597014926,0.0,
历史收缩推荐矩阵,维持,0.029059040590405875,0.7551005678450567,0.2158403915645374,
历史收缩推荐矩阵,升级,0.0,0.254957507082153,0.7450424929178471,
