day_index,trade_date,状态,count,状态占比
65,2026-05-06,升级,232,0.07733333333333334
65,2026-05-06,维持,2348,0.7826666666666666
65,2026-05-06,缓和,420,0.14
66,2026-05-07,升级,360,0.12
66,2026-05-07,维持,1931,0.6436666666666667
66,2026-05-07,缓和,709,0.23633333333333334
67,2026-05-08,升级,448,0.14933333333333335
67,2026-05-08,维持,1632,0.544
67,2026-05-08,缓和,920,0.30666666666666664
68,2026-05-09,升级,479,0.15966666666666668
68,2026-05-09,维持,1461,0.487
68,2026-05-09,缓和,1060,0.35333333333333333
69,2026-05-10,升级,502,0.16733333333333333
69,2026-05-10,维持,1348,0.4493333333333333
69,2026-05-10,缓和,1150,0.38333333333333336
70,2026-05-11,升级,520,0.17333333333333334
70,2026-05-11,维持,1223,0.4076666666666667
70,2026-05-11,缓和,1257,0.419
71,2026-05-12,升级,501,0.167
71,2026-05-12,维持,1197,0.399
71,2026-05-12,缓和,1302,0.434
72,2026-05-13,升级,511,0.17033333333333334
72,2026-05-13,维持,1136,0.37866666666666665
72,2026-05-13,缓和,1353,0.451
73,2026-05-14,升级,474,0.158
73,2026-05-14,维持,1133,0.37766666666666665
73,2026-05-14,缓和,1393,0.4643333333333333
74,2026-05-15,升级,478,0.15933333333333333
74,2026-05-15,维持,1100,0.36666666666666664
74,2026-05-15,缓和,1422,0.474
75,2026-05-16,升级,460,0.15333333333333332
75,2026-05-16,维持,1109,0.36966666666666664
75,2026-05-16,缓和,1431,0.477
76,2026-05-17,升级,433,0.14433333333333334
76,2026-05-17,维持,1123,0.37433333333333335
76,2026-05-17,缓和,1444,0.48133333333333334
77,2026-05-18,升级,440,0.14666666666666667
77,2026-05-18,维持,1114,0.37133333333333335
77,2026-05-18,缓和,1446,0.482
78,2026-05-19,升级,453,0.151
78,2026-05-19,维持,1083,0.361
78,2026-05-19,缓和,1464,0.488
79,2026-05-20,升级,454,0.15133333333333332
79,2026-05-20,维持,1063,0.35433333333333333
79,2026-05-20,缓和,1483,0.49433333333333335
80,2026-05-21,升级,440,0.14666666666666667
80,2026-05-21,维持,1062,0.354
80,2026-05-21,缓和,1498,0.49933333333333335
81,2026-05-22,升级,450,0.15
81,2026-05-22,维持,1049,0.3496666666666667
81,2026-05-22,缓和,1501,0.5003333333333333
82,2026-05-23,升级,445,0.14833333333333334
82,2026-05-23,维持,1084,0.36133333333333334
82,2026-05-23,缓和,1471,0.49033333333333334
83,2026-05-24,升级,445,0.14833333333333334
83,2026-05-24,维持,1104,0.368
83,2026-05-24,缓和,1451,0.4836666666666667
84,2026-05-25,升级,445,0.14833333333333334
84,2026-05-25,维持,1120,0.37333333333333335
84,2026-05-25,缓和,1435,0.47833333333333333
85,2026-05-26,升级,459,0.153
85,2026-05-26,维持,1106,0.36866666666666664
85,2026-05-26,缓和,1435,0.47833333333333333
86,2026-05-27,升级,445,0.14833333333333334
86,2026-05-27,维持,1100,0.36666666666666664
86,2026-05-27,缓和,1455,0.485
87,2026-05-28,升级,423,0.141
87,2026-05-28,维持,1101,0.367
87,2026-05-28,缓和,1476,0.492
88,2026-05-29,升级,441,0.147
88,2026-05-29,维持,1080,0.36
88,2026-05-29,缓和,1479,0.493
89,2026-05-30,升级,427,0.14233333333333334
89,2026-05-30,维持,1105,0.36833333333333335
89,2026-05-30,缓和,1468,0.48933333333333334
90,2026-05-31,升级,447,0.149
90,2026-05-31,维持,1094,0.36466666666666664
90,2026-05-31,缓和,1459,0.48633333333333334
91,2026-06-01,升级,453,0.151
91,2026-06-01,维持,1113,0.371
91,2026-06-01,缓和,1434,0.478
92,2026-06-02,升级,442,0.14733333333333334
92,2026-06-02,维持,1120,0.37333333333333335
92,2026-06-02,缓和,1438,0.47933333333333333
93,2026-06-03,升级,438,0.146
93,2026-06-03,维持,1131,0.377
93,2026-06-03,缓和,1431,0.477
94,2026-06-04,升级,439,0.14633333333333334
94,2026-06-04,维持,1148,0.38266666666666665
94,2026-06-04,缓和,1413,0.471
95,2026-06-05,升级,441,0.147
95,2026-06-05,维持,1116,0.372
95,2026-06-05,缓和,1443,0.481
96,2026-06-06,升级,428,0.14266666666666666
96,2026-06-06,维持,1096,0.36533333333333334
96,2026-06-06,缓和,1476,0.492
97,2026-06-07,升级,445,0.14833333333333334
97,2026-06-07,维持,1095,0.365
97,2026-06-07,缓和,1460,0.4866666666666667
98,2026-06-08,升级,449,0.14966666666666667
98,2026-06-08,维持,1055,0.3516666666666667
98,2026-06-08,缓和,1496,0.49866666666666665
99,2026-06-09,升级,443,0.14766666666666667
99,2026-06-09,维持,1070,0.3566666666666667
99,2026-06-09,缓和,1487,0.49566666666666664
100,2026-06-10,升级,426,0.142
100,2026-06-10,维持,1121,0.37366666666666665
100,2026-06-10,缓和,1453,0.48433333333333334
101,2026-06-11,升级,425,0.14166666666666666
101,2026-06-11,维持,1110,0.37
101,2026-06-11,缓和,1465,0.48833333333333334
102,2026-06-12,升级,411,0.137
102,2026-06-12,维持,1115,0.37166666666666665
102,2026-06-12,缓和,1474,0.49133333333333334
103,2026-06-13,升级,415,0.13833333333333334
103,2026-06-13,维持,1103,0.36766666666666664
103,2026-06-13,缓和,1482,0.494
104,2026-06-14,升级,385,0.12833333333333333
104,2026-06-14,维持,1101,0.367
104,2026-06-14,缓和,1514,0.5046666666666667
105,2026-06-15,升级,412,0.13733333333333334
105,2026-06-15,维持,1050,0.35
105,2026-06-15,缓和,1538,0.5126666666666667
106,2026-06-16,升级,430,0.14333333333333334
106,2026-06-16,维持,1024,0.3413333333333333
106,2026-06-16,缓和,1546,0.5153333333333333
107,2026-06-17,升级,416,0.13866666666666666
107,2026-06-17,维持,1042,0.3473333333333333
107,2026-06-17,缓和,1542,0.514
108,2026-06-18,升级,424,0.14133333333333334
108,2026-06-18,维持,1028,0.3426666666666667
108,2026-06-18,缓和,1548,0.516
109,2026-06-19,升级,403,0.13433333333333333
109,2026-06-19,维持,1066,0.35533333333333333
109,2026-06-19,缓和,1531,0.5103333333333333
110,2026-06-20,升级,403,0.13433333333333333
110,2026-06-20,维持,1049,0.3496666666666667
110,2026-06-20,缓和,1548,0.516
111,2026-06-21,升级,410,0.13666666666666666
111,2026-06-21,维持,1057,0.35233333333333333
111,2026-06-21,缓和,1533,0.511
112,2026-06-22,升级,412,0.13733333333333334
112,2026-06-22,维持,1030,0.3433333333333333
112,2026-06-22,缓和,1558,0.5193333333333333
113,2026-06-23,升级,422,0.14066666666666666
113,2026-06-23,维持,1045,0.34833333333333333
113,2026-06-23,缓和,1533,0.511
114,2026-06-24,升级,405,0.135
114,2026-06-24,维持,1068,0.356
114,2026-06-24,缓和,1527,0.509
115,2026-06-25,升级,405,0.135
115,2026-06-25,维持,1074,0.358
115,2026-06-25,缓和,1521,0.507
116,2026-06-26,升级,415,0.13833333333333334
116,2026-06-26,维持,1045,0.34833333333333333
116,2026-06-26,缓和,1540,0.5133333333333333
117,2026-06-27,升级,390,0.13
117,2026-06-27,维持,1068,0.356
117,2026-06-27,缓和,1542,0.514
118,2026-06-28,升级,387,0.129
118,2026-06-28,维持,1080,0.36
118,2026-06-28,缓和,1533,0.511
119,2026-06-29,升级,370,0.12333333333333334
119,2026-06-29,维持,1051,0.35033333333333333
119,2026-06-29,缓和,1579,0.5263333333333333
120,2026-06-30,升级,384,0.128
120,2026-06-30,维持,1030,0.3433333333333333
120,2026-06-30,缓和,1586,0.5286666666666666
121,2026-07-01,升级,398,0.13266666666666665
121,2026-07-01,维持,1017,0.339
121,2026-07-01,缓和,1585,0.5283333333333333
122,2026-07-02,升级,423,0.141
122,2026-07-02,维持,1038,0.346
122,2026-07-02,缓和,1539,0.513
123,2026-07-03,升级,435,0.145
123,2026-07-03,维持,1043,0.3476666666666667
123,2026-07-03,缓和,1522,0.5073333333333333
124,2026-07-04,升级,440,0.14666666666666667
124,2026-07-04,维持,1037,0.3456666666666667
124,2026-07-04,缓和,1523,0.5076666666666667
125,2026-07-05,升级,446,0.14866666666666667
125,2026-07-05,维持,1059,0.353
125,2026-07-05,缓和,1495,0.49833333333333335
126,2026-07-06,升级,453,0.151
126,2026-07-06,维持,1047,0.349
126,2026-07-06,缓和,1500,0.5
127,2026-07-07,升级,483,0.161
127,2026-07-07,维持,1040,0.3466666666666667
