指标组,对象,起点价格,第180天价格,外推期净变化,日均变化,日变化标准差,平均绝对日变化,最大单日上行,最大单日下行,p05,p50,p95,p95-p05,p75-p25,p95相对p50,p50相对p05,相对第90天宽度,第90至180天宽度变化率,缓和占比,维持占比,升级占比
三情景中心路径,optimistic,101.93267865254649,86.40243949869678,-15.530239153849706,-0.13504555785956265,0.47558294069265256,0.14213995044145444,0.05126242975481432,-4.476309283086451,,,,,,,,,,,,
三情景中心路径,neutral,110.31540127360611,91.36776723827325,-18.947634035332868,-0.16476203508985102,0.045414765205523094,0.16476203508985102,-0.08351037222210778,-0.23873776389466173,,,,,,,,,,,,
三情景中心路径,pessimistic,120.5175379975184,112.58393318062603,-7.93360481689237,-0.06898786797297712,0.675589933672864,0.3082547168992925,5.689583829147395,-0.3735008106776547,,,,,,,,,,,,
状态转移概率扇形,第90天,,,,,,,,,100.88771160140806,107.85981625943114,121.6959372096052,20.808225608197148,8.173004386828282,13.836120950174063,6.972104658023085,1.0,,,,
状态转移概率扇形,第120天,,,,,,,,,95.86747462964328,101.752322914928,113.41924199997196,17.551767370328676,6.980011559999781,11.666919085043958,5.884848285284718,0.8435013970347558,,,,
状态转移概率扇形,第150天,,,,,,,,,91.71839395945644,97.09378095114404,109.20245650956448,17.48406255010805,6.810326036292963,12.108675558420444,5.375386991687606,0.840247644336402,,,,
状态转移概率扇形,第180天,,,,,,,,,88.81429484216581,94.09962197865516,107.62124540832198,18.806950566156175,7.453434279919449,13.521623429666818,5.285327136489357,0.903822888134556,-0.09617711186544398,,,
状态占比,第90天,,,,,,,,,,,,,,,,,,0.0806666666666666,0.707,0.2123333333333333
状态占比,第120天,,,,,,,,,,,,,,,,,,0.086,0.726,0.188
状态占比,第150天,,,,,,,,,,,,,,,,,,0.0773333333333333,0.7356666666666667,0.187
状态占比,第180天,,,,,,,,,,,,,,,,,,0.072,0.7273333333333334,0.2006666666666666
