day_index,trade_date,状态,count,状态占比
65,2026-05-06,升级,233,0.07766666666666666
65,2026-05-06,维持,2609,0.8696666666666667
65,2026-05-06,缓和,158,0.05266666666666667
66,2026-05-07,升级,347,0.11566666666666667
66,2026-05-07,维持,2437,0.8123333333333334
66,2026-05-07,缓和,216,0.072
67,2026-05-08,升级,413,0.13766666666666666
67,2026-05-08,维持,2343,0.781
67,2026-05-08,缓和,244,0.08133333333333333
68,2026-05-09,升级,481,0.16033333333333333
68,2026-05-09,维持,2276,0.7586666666666667
68,2026-05-09,缓和,243,0.081
69,2026-05-10,升级,514,0.17133333333333334
69,2026-05-10,维持,2230,0.7433333333333333
69,2026-05-10,缓和,256,0.08533333333333333
70,2026-05-11,升级,560,0.18666666666666668
70,2026-05-11,维持,2187,0.729
70,2026-05-11,缓和,253,0.08433333333333333
71,2026-05-12,升级,579,0.193
71,2026-05-12,维持,2164,0.7213333333333334
71,2026-05-12,缓和,257,0.08566666666666667
72,2026-05-13,升级,603,0.201
72,2026-05-13,维持,2149,0.7163333333333334
72,2026-05-13,缓和,248,0.08266666666666667
73,2026-05-14,升级,586,0.19533333333333333
73,2026-05-14,维持,2169,0.723
73,2026-05-14,缓和,245,0.08166666666666667
74,2026-05-15,升级,594,0.198
74,2026-05-15,维持,2181,0.727
74,2026-05-15,缓和,225,0.075
75,2026-05-16,升级,577,0.19233333333333333
75,2026-05-16,维持,2192,0.7306666666666667
75,2026-05-16,缓和,231,0.077
76,2026-05-17,升级,590,0.19666666666666666
76,2026-05-17,维持,2162,0.7206666666666667
76,2026-05-17,缓和,248,0.08266666666666667
77,2026-05-18,升级,586,0.19533333333333333
77,2026-05-18,维持,2177,0.7256666666666667
77,2026-05-18,缓和,237,0.079
78,2026-05-19,升级,597,0.199
78,2026-05-19,维持,2175,0.725
78,2026-05-19,缓和,228,0.076
79,2026-05-20,升级,603,0.201
79,2026-05-20,维持,2156,0.7186666666666667
79,2026-05-20,缓和,241,0.08033333333333334
80,2026-05-21,升级,593,0.19766666666666666
80,2026-05-21,维持,2179,0.7263333333333334
80,2026-05-21,缓和,228,0.076
81,2026-05-22,升级,588,0.196
81,2026-05-22,维持,2158,0.7193333333333334
81,2026-05-22,缓和,254,0.08466666666666667
82,2026-05-23,升级,593,0.19766666666666666
82,2026-05-23,维持,2168,0.7226666666666667
82,2026-05-23,缓和,239,0.07966666666666666
83,2026-05-24,升级,587,0.19566666666666666
83,2026-05-24,维持,2186,0.7286666666666667
83,2026-05-24,缓和,227,0.07566666666666666
84,2026-05-25,升级,591,0.197
84,2026-05-25,维持,2175,0.725
84,2026-05-25,缓和,234,0.078
85,2026-05-26,升级,599,0.19966666666666666
85,2026-05-26,维持,2159,0.7196666666666667
85,2026-05-26,缓和,242,0.08066666666666666
86,2026-05-27,升级,570,0.19
86,2026-05-27,维持,2180,0.7266666666666667
86,2026-05-27,缓和,250,0.08333333333333333
87,2026-05-28,升级,577,0.19233333333333333
87,2026-05-28,维持,2182,0.7273333333333334
87,2026-05-28,缓和,241,0.08033333333333334
88,2026-05-29,升级,599,0.19966666666666666
88,2026-05-29,维持,2175,0.725
88,2026-05-29,缓和,226,0.07533333333333334
89,2026-05-30,升级,589,0.19633333333333333
89,2026-05-30,维持,2169,0.723
89,2026-05-30,缓和,242,0.08066666666666666
90,2026-05-31,升级,580,0.19333333333333333
90,2026-05-31,维持,2180,0.7266666666666667
90,2026-05-31,缓和,240,0.08
91,2026-06-01,升级,612,0.204
91,2026-06-01,维持,2167,0.7223333333333334
91,2026-06-01,缓和,221,0.07366666666666667
92,2026-06-02,升级,602,0.20066666666666666
92,2026-06-02,维持,2173,0.7243333333333334
92,2026-06-02,缓和,225,0.075
93,2026-06-03,升级,586,0.19533333333333333
93,2026-06-03,维持,2199,0.733
93,2026-06-03,缓和,215,0.07166666666666667
94,2026-06-04,升级,617,0.20566666666666666
94,2026-06-04,维持,2163,0.721
94,2026-06-04,缓和,220,0.07333333333333333
95,2026-06-05,升级,637,0.21233333333333335
95,2026-06-05,维持,2128,0.7093333333333334
95,2026-06-05,缓和,235,0.07833333333333334
96,2026-06-06,升级,641,0.21366666666666667
96,2026-06-06,维持,2121,0.707
96,2026-06-06,缓和,238,0.07933333333333334
97,2026-06-07,升级,610,0.20333333333333334
97,2026-06-07,维持,2154,0.718
97,2026-06-07,缓和,236,0.07866666666666666
98,2026-06-08,升级,598,0.19933333333333333
98,2026-06-08,维持,2184,0.728
98,2026-06-08,缓和,218,0.07266666666666667
99,2026-06-09,升级,601,0.20033333333333334
99,2026-06-09,维持,2166,0.722
99,2026-06-09,缓和,233,0.07766666666666666
100,2026-06-10,升级,575,0.19166666666666668
100,2026-06-10,维持,2185,0.7283333333333334
100,2026-06-10,缓和,240,0.08
101,2026-06-11,升级,583,0.19433333333333333
101,2026-06-11,维持,2187,0.729
101,2026-06-11,缓和,230,0.07666666666666666
102,2026-06-12,升级,600,0.2
102,2026-06-12,维持,2150,0.7166666666666667
102,2026-06-12,缓和,250,0.08333333333333333
103,2026-06-13,升级,578,0.19266666666666668
103,2026-06-13,维持,2180,0.7266666666666667
103,2026-06-13,缓和,242,0.08066666666666666
104,2026-06-14,升级,586,0.19533333333333333
104,2026-06-14,维持,2180,0.7266666666666667
104,2026-06-14,缓和,234,0.078
105,2026-06-15,升级,594,0.198
105,2026-06-15,维持,2196,0.732
105,2026-06-15,缓和,210,0.07
106,2026-06-16,升级,595,0.19833333333333333
106,2026-06-16,维持,2180,0.7266666666666667
106,2026-06-16,缓和,225,0.075
107,2026-06-17,升级,594,0.198
107,2026-06-17,维持,2185,0.7283333333333334
107,2026-06-17,缓和,221,0.07366666666666667
108,2026-06-18,升级,594,0.198
108,2026-06-18,维持,2185,0.7283333333333334
108,2026-06-18,缓和,221,0.07366666666666667
109,2026-06-19,升级,594,0.198
109,2026-06-19,维持,2149,0.7163333333333334
109,2026-06-19,缓和,257,0.08566666666666667
110,2026-06-20,升级,606,0.202
110,2026-06-20,维持,2161,0.7203333333333334
110,2026-06-20,缓和,233,0.07766666666666666
111,2026-06-21,升级,567,0.189
111,2026-06-21,维持,2187,0.729
111,2026-06-21,缓和,246,0.082
112,2026-06-22,升级,573,0.191
112,2026-06-22,维持,2173,0.7243333333333334
112,2026-06-22,缓和,254,0.08466666666666667
113,2026-06-23,升级,588,0.196
113,2026-06-23,维持,2172,0.724
113,2026-06-23,缓和,240,0.08
114,2026-06-24,升级,581,0.19366666666666665
114,2026-06-24,维持,2197,0.7323333333333333
114,2026-06-24,缓和,222,0.074
115,2026-06-25,升级,580,0.19333333333333333
115,2026-06-25,维持,2185,0.7283333333333334
115,2026-06-25,缓和,235,0.07833333333333334
116,2026-06-26,升级,592,0.19733333333333333
116,2026-06-26,维持,2169,0.723
116,2026-06-26,缓和,239,0.07966666666666666
117,2026-06-27,升级,593,0.19766666666666666
117,2026-06-27,维持,2172,0.724
117,2026-06-27,缓和,235,0.07833333333333334
118,2026-06-28,升级,602,0.20066666666666666
118,2026-06-28,维持,2158,0.7193333333333334
118,2026-06-28,缓和,240,0.08
119,2026-06-29,升级,578,0.19266666666666668
119,2026-06-29,维持,2164,0.7213333333333334
119,2026-06-29,缓和,258,0.086
120,2026-06-30,升级,554,0.18466666666666667
120,2026-06-30,维持,2191,0.7303333333333333
120,2026-06-30,缓和,255,0.085
121,2026-07-01,升级,534,0.178
121,2026-07-01,维持,2208,0.736
121,2026-07-01,缓和,258,0.086
122,2026-07-02,升级,523,0.17433333333333334
122,2026-07-02,维持,2224,0.7413333333333333
122,2026-07-02,缓和,253,0.08433333333333333
123,2026-07-03,升级,499,0.16633333333333333
123,2026-07-03,维持,2224,0.7413333333333333
123,2026-07-03,缓和,277,0.09233333333333334
124,2026-07-04,升级,533,0.17766666666666667
124,2026-07-04,维持,2179,0.7263333333333334
124,2026-07-04,缓和,288,0.096
125,2026-07-05,升级,539,0.17966666666666667
125,2026-07-05,维持,2183,0.7276666666666667
125,2026-07-05,缓和,278,0.09266666666666666
126,2026-07-06,升级,516,0.172
126,2026-07-06,维持,2206,0.7353333333333333
126,2026-07-06,缓和,278,0.09266666666666666
127,2026-07-07,升级,509,0.16966666666666666
127,2026-07-07,维持,2228,0.7426666666666667
127,2026-07-07,缓和,263,0.08766666666666667
128,2026-07-08,升级,494,0.16466666666666666
128,2026-07-08,维持,2245,0.7483333333333333
128,2026-07-08,缓和,261,0.087
129,2026-07-09,升级,522,0.174
129,2026-07-09,维持,2197,0.7323333333333333
129,2026-07-09,缓和,281,0.09366666666666666
130,2026-07-10,升级,506,0.16866666666666666
130,2026-07-10,维持,2227,0.7423333333333333
