参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
中性基准,baseline,基准,,,中性基准,0.0,,中性情景，即综合最优参数外推路径。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
供应中断量,supply_interruption,题面物理层,万桶/日,1400.0,1400,-0.06199108195648511,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,109.65703786893367,103.87283714064215,99.81666836051458,92.36715841090914,109.26106947394504,99.60994442350953,0.0,0.0,0.0,低,-0.7696415491688242
供应中断量,supply_interruption,题面物理层,万桶/日,1493.0,1493,0.0003195104564055205,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,110.98567671207056,105.55895573074035,100.99677140194368,93.14079369044244,110.76601717660553,100.83873024677796,0.0,0.0,0.0,低,0.0039937303644705935
供应中断量,supply_interruption,题面物理层,万桶/日,1600.0,1600,0.0720101920497313,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,112.45655591560333,107.43698112238786,102.07110016424996,94.04280990411621,112.43323362226955,102.15095442943203,0.0,0.0,0.0,低,0.9060099440382459
供应中断量,supply_interruption,题面物理层,万桶/日,1800.0,1800,0.20601146605594772,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,115.1325089802153,109.98978288557916,104.13170407125017,95.7543473312317,115.44589292006752,104.39124253348409,0.0,0.0,0.0,低,2.6175473711537336
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,200.0,200,-0.6911814171393431,高,战略石油储备释放能力，直接缓冲供应缺口。,109.7915437729876,106.08240066011216,100.9754015250551,93.82344186261898,110.26283854697255,101.11865817130786,16.438207981844243,16.438207981844243,0.0,低,0.6866419025410124
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,450.0,450,-0.30515818856352195,高,战略石油储备释放能力，直接缓冲供应缺口。,110.56237019436905,105.84006096780804,100.9878192957275,93.13670770664524,110.6204909547591,100.92827161707406,0.0,0.0,0.0,低,-9.225343272589726e-05
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,670.0,670,0.03454225258320066,高,战略石油储备释放能力，直接缓冲供应缺口。,110.97858866888456,105.51241895990582,100.99124283121762,93.13679996007738,110.73997079451827,100.81710628486083,0.0,0.0,0.0,低,-5.826450433232822e-13
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,700.0,700,0.08086504001229919,高,战略石油储备释放能力，直接缓冲供应缺口。,111.03224180313934,105.46739749987502,100.99090064921664,93.13681184595521,110.75402751663923,100.80062926453552,0.0,0.0,0.0,低,1.1885877242434617e-05
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,0.0,0天,-1.0,高,战略储备从冲击发生到释放启动的时间延迟。,110.97858863921856,105.55040229100604,100.99198002655172,93.13679996007797,110.75815369991477,100.83262881310783,0.0,0.0,0.0,低,0.0
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,3.0,3天,0.0,高,战略储备从冲击发生到释放启动的时间延迟。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,7.0,7天,1.3333333333333333,高,战略储备从冲击发生到释放启动的时间延迟。,110.97858905582652,105.55040229100825,100.99198002655172,93.13679996007797,110.75815381596523,100.83262881594807,0.0,0.0,0.0,低,0.0
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,14.0,14天,3.6666666666666665,高,战略储备从冲击发生到释放启动的时间延迟。,110.79263667039787,105.52989595694848,100.98894783411872,93.13675875668807,110.6249079505275,100.81692890978968,0.0,0.0,0.0,低,-4.120338989821448e-05
绕道运输能力,route_max_capacity,题面物理缓冲层,万桶/日,150.0,150,-0.349296749687203,中,绕道、替代航线和运输组织恢复形成的额外供给能力。,110.97858880878677,106.25309709373059,100.99508041124531,93.13679996008044,111.03084916263776,101.06986998253312,0.0,0.0,0.0,低,2.4726887204451486e-12
