参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
中性基准,baseline,基准,,,中性基准,0.0,,阶段5中性情景，即阶段4综合最优参数外推路径。,109.76790698452947,107.55270294339726,104.32704412856036,98.60523803966915,110.34977256212765,104.21737050952117,0.0,0.0,0.0,低,0.0
供应中断量,supply_interruption,题面物理层,万桶/日,1400.0,1400,-0.06199108195648511,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,108.49835751194908,106.0275216934454,102.94702000684644,97.92955568947784,108.96040902570157,102.9796105213689,0.0,0.0,0.0,低,-0.675682350191309
供应中断量,supply_interruption,题面物理层,万桶/日,1493.0,1493,0.0003195104564055205,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,109.7747269511465,107.5604903893062,104.33406195996906,98.60877109453911,110.35709478577914,104.2234264600015,0.0,0.0,0.0,低,0.0035330548699619158
供应中断量,supply_interruption,题面物理层,万桶/日,1600.0,1600,0.0720101920497313,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,111.24734801768386,109.27762462929549,105.67630308702596,99.41272800385019,111.9545873188689,105.51748405534367,0.0,0.0,0.06304479801782747,低,0.8074899641810447
供应中断量,supply_interruption,题面物理层,万桶/日,1800.0,1800,0.20601146605594772,低,封锁实际造成的供应缺口，是价格上行压力的源头变量。,113.74901356955534,112.06102535161476,107.64576949651725,100.9636460408151,114.92289090807812,107.69231855901332,0.0,0.0,0.4939357363152084,低,2.3584080011459605
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,200.0,200,-0.7013046863608061,高,战略石油储备释放能力，直接缓冲供应缺口。,108.58091114084614,107.85379164605871,104.44215145540201,98.65927005216815,109.95950567323212,104.31490813555203,0.0,0.0,0.4864073069979469,低,0.054032012499007465
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,450.0,450,-0.3279355443118139,高,战略石油储备释放能力，直接缓冲供应缺口。,109.35168848177929,107.85833524321549,104.45235040947885,98.60514553539562,110.24028020705529,104.33886833069728,0.0,0.0,0.1516030919226239,低,-9.250427352469615e-05
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,670.0,670,0.0006293006912993311,高,战略石油储备释放能力，直接缓冲供应缺口。,109.76790698349564,107.55202676610764,104.32655941249092,98.60523803965557,110.34949147043864,104.21701188449043,0.0,0.0,0.0,低,-1.3571366253017914e-11
SPR释放上限,spr_max_release,题面政策缓冲层,万桶/日,700.0,700,0.04543359773717841,高,战略石油储备释放能力，直接缓冲供应缺口。,109.82156011720274,107.50990658614298,104.29275527329352,98.6052499566512,110.36811496291328,104.1957793972556,0.0,0.0,0.0,低,1.1916982060711234e-05
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,0.0,0天,-1.0,高,战略储备从冲击发生到释放启动的时间延迟。,109.76790689780391,107.55270294339671,104.32704412856036,98.60523803966915,110.34977253779878,104.21737050891765,0.0,0.0,0.0,低,0.0
SPR启动延迟,spr_delay_days,题面政策缓冲层,天,3.0,3天,0.0,高,战略储备从冲击发生到释放启动的时间延迟。,109.76790698452947,107.55270294339726,104.32704412856036,98.60523803966915,110.34977256212765,104.21737050952117,0.0,0.0,0.0,低,0.0
